w	(danh từ) w, w (v kép).
wage competition model	(danh từ) (kinh tế học) mô hình cạnh tranh bằng tiền công.
wage contour	(danh từ) (kinh tế học) vòng tiền công.
wage contracts	(danh từ) (kinh tế học) hợp đồng tiền công.
wage differentials	(danh từ) (kinh tế học) chênh lệc tiền công.
wage discrimination	(danh từ) (kinh tế học) phân biệt đối xử tiền công.
wage drift	(danh từ) (kinh tế học) mức trượt tiền công.
wage fund	(danh từ) (kinh tế học) quỹ lương.
wage hike	(danh từ) (từ mỹ, nghĩa mỹ) (như) wage-rise.
wage inflation	(danh từ) (kinh tế học) lạm phát tiền công.
wage leadership	(danh từ) (kinh tế học) xác định tiền công theo mức tham khảo.
wage rates	(danh từ) (kinh tế học) các mức tiền công.
wage restraint	(danh từ) (kinh tế học) hạn chế tiền công.
wage round	(danh từ) (kinh tế học) vòng quay tiền công.
wage theory	(danh từ) (kinh tế học) lý thuyết tiền công.
wage-claim	(danh từ) yêu sách về lương (sự tăng tiền lương do công đoàn đòi hỏi chủ trả cho thợ).
wage-earner	(danh từ) người làm công ăn lương.
wage-freeze	(danh từ) sự hạn mức tiền lương.
wage-fund	(danh từ) quỹ tiền lương.
wage-price spiral	(danh từ) (kinh tế học) vòng xoáy tiền công-giá.
wage-push inflation	(danh từ) (kinh tế học) lạm phát do tiền công đẩy.
wage-rental ratio	(danh từ) (kinh tế học) tỷ số tiền công- tiền thuê vốn.
wage-rise	(danh từ) sự tăng lương.
wage-scale	(danh từ) thang lương.
wage-sheet	(danh từ) giấy trả lương.
wage-wage sprial	(danh từ) (kinh tế học) vòng xoáy tiền công-tiền công.
wage-worker	(danh từ) người làm thuê.
wager	(danh từ) sự đánh cuộc.
wager	(động từ) đánh cuộc.
wagerer	(danh từ) người đánh cuộc.
wages councils	(danh từ) (kinh tế học) các hội đồng tiền công.
wages freeze	(danh từ) (kinh tế học) hạn mức tiền công.
wages fund doctrine	(danh từ) (kinh tế học) học thuyết quỹ lương.
wages structure	(danh từ) (kinh tế học) cấu trúc tiền công.
wages-fund	(danh từ) quỹ tiền lương.
waggery	(danh từ) thói đùa dai.
waggery	(danh từ) (số nhiều) lời nói đùa; trò tinh nghịch.
waggish	(tính từ) nói đùa; tinh nghịch.
waggishness	(danh từ) tính bông đùa; tính tinh nghịch.
waggle	(danh từ) thân mật) sự lắc, sự lúc lắc, sự vẫy, sự ve vẩy.
waggle	(động từ) thân mật) (như) wag.
waggly	(tính từ) lúc lắc, ve vẩy.
waggly	(tính từ) không ổn định.
waggon	(danh từ) xe ngựa, xe bò (chở hàng).
waggon	(danh từ) (ngành đường sắt) toa trần (chở hàng).
waggon	(danh từ) (ngành mỏ) xe goòng.
waggon	(danh từ) (thông tục) xe trẻ con.
waggon	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) máy bay.
waggon	(danh từ) kiêng rượu.
waggon	(danh từ) làm việc quá sức (khả năng) mình.
waggon-road	(danh từ) đường xe ngựa; đường xe súc vật.
waggon-road	(danh từ) xem waggon-way.
waggon-way	(danh từ) đường xe ngựa.
waggon-way	(danh từ) (khoáng chất) khu chở quặng bằng gòong.
waggonage	(danh từ) sự chuyên chở bằng xe, tàu.
waggonage	(danh từ) tiền chuyên chở.
waggonage	(danh từ) đoàn tàu; dãy toa tàu.
waggoner	(danh từ) người đánh xe.
waggonette	(danh từ) xe ngựa bốn bánh (có chỗ ngồi đối diện nhau).
wagners law	(danh từ) (kinh tế học) định luật wagner.
wagon	(danh từ) xe ngựa, xe bò (chở hàng).
wagon	(danh từ) (ngành đường sắt) toa trần (chở hàng).
wagon	(danh từ) (ngành mỏ) xe goòng.
wagon	(danh từ) (thông tục) xe trẻ con.
wagon	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) máy bay.
wagon	(danh từ) kiêng rượu.
wagon	(danh từ) làm việc quá sức (khả năng) mình.
wagon-lit	(danh từ) (ngành đường sắt) toa nằm.
wagoner	(danh từ) người đánh xe.
wagonette	(danh từ) xe ngựa bốn bánh (có chỗ ngồi đối diện nhau).
wagons-lits	(danh từ) (đường sắt) toa nằm.
wagtail	(danh từ) (động vật học) chim chìa vôi.
waif	(danh từ) (hàng hải) vật trôi giạt (ở bờ biển).
waif	(danh từ) vật vô chủ.
waif	(danh từ) trẻ bị bỏ rơi, trẻ bơ vơ.
waif	(danh từ) trẻ bơ vơ sống nơi đầu đường xó chợ.
waif	(danh từ) chó mèo vô chủ.
waif	(danh từ) đầu thừa đuôi thẹo.
wail	(danh từ) tiếng than van, tiếng khóc than, tiếng rền rĩ.
wail	(động từ) than van, than khóc, rền rĩ.
wailer	(danh từ) người khóc mướn.
wailful	(tính từ) than van, rền rĩ, ai oán.
wailing	(tính từ) khóc than; than vãn.
wailsome	(tính từ) khóc than; than vãn.
wailsome	(tính từ) não nuột; thảm thiết; buồm thảm; thê lương.
wainscot	(danh từ) ván lát chân tường.
wainscot	(ngoại động từ) lát ván chân tường.
wainscoted	(tính từ) có ván ốp ở chân tường.
wainscoting	(danh từ) sự lát ván chân tường.
wainscoting	(danh từ) ván lát chân tường.
waist	(danh từ) chỗ thắt lưng.
waist	(danh từ) chỗ eo, chỗ thắt lại.
waist	(danh từ) vạt trên (của áo); (từ mỹ, nghĩa mỹ) áo chẽn (của phụ nữ).
waist-band	(danh từ) dây thắt lưng.
waist-deep	(tính từ & phó từ) đến thắt lưng.
waist-high	(tính từ, trạng từ) cao đủ để đến thắt lưng.
waist-line	(danh từ) vòng thắt lưng.
waistband	(danh từ) cạp (dải vải tạo thành chỗ eo lưng của quần áo, nhất là ở đầu quần hay váy).
waistcoat	(danh từ) áo gi lê.
waisted	(tính từ) thắt eo, thóp lại ở eo (cái áo).
waisted	(tính từ) (tạo nên các tính từ kép) có một kiểu eo được chỉ rõ.
wait	(danh từ) sự chờ đợi; thời gian chờ đợi.
wait	(danh từ) sự rình, sự mai phục; chỗ rình, chỗ mai phục.
wait	(danh từ) (số nhiều) người hát rong ngày lễ nô-en.
wait	(nội động từ) chờ, đợi.
wait	(nội động từ) hầu bàn.
wait	(ngoại động từ) chờ, đợi.
wait	(ngoại động từ) hoãn lại, lùi lại.
wait	(ngoại động từ) (từ cổ, nghĩa cổ) theo hầu.
wait	(ngoại động từ) hầu hạ, phục dịch.
wait	(ngoại động từ) đến thăm (người trên mình).
wait	(ngoại động từ) (thể dục, thể thao) bám sát (địch thủ).
wait	(ngoại động từ) (thông tục) thức đợi ai.
wait umemployment	(danh từ) (kinh tế học) thất nghiệp do chờ việc.
wait-and-see	(tính từ) wait-and-see policy chính sách chờ xem.
waiter	(danh từ) người hầu bàn.
waiter	(danh từ) khay, mâm.
waiter	(danh từ) người đợi, người chờ; người trông đợi.
waiting	(danh từ) sự đợi, sự chờ; thời gian đợi.
waiting	(danh từ) sự hầu bàn.
waiting	(tính từ) đợi, chờ.
waiting	(tính từ) hầu bàn.
waiting-lady	(danh từ) thị nữ; nữ quan.
waiting-list	(danh từ) danh sách chờ đợi.
waiting-maid	(danh từ) người hầu gái; cô phục vụ.
waiting-room	(danh từ) phòng đợi.
waiting-woman	(danh từ) người hầu gái; cô phục vụ.
waitress	(danh từ) chị hầu bàn.
waive	(ngoại động từ) (pháp lý) bỏ, từ bỏ, khước từ.
waiver	(danh từ) (pháp lý) sự bỏ, sự từ bỏ, sự khước từ.
waiver	(danh từ) giấy từ bỏ, giấy khước từ.
wak-hearted	(tính từ) nhút nhát, nhu nhược.
wake	(danh từ) (hàng hải) lằn tàu.
wake	(danh từ) ((thường) số nhiều) nghỉ hằng năm (ở miền bắc nước anh).
wake	(danh từ) sự thức canh người chết.
wake	(nội động từ) thức giấc, thức dậy, tỉnh dậy.
wake	(ngoại động từ) đánh thức.
wake	(ngoại động từ) làm hồi tỉnh lại, làm sống lại.
wake	(ngoại động từ) làm náo động (nơi nào); phá (sự yên tĩnh).
wake	(ngoại động từ) làm dội lại (tiếng vang).
wake	(ngoại động từ) khêu gợi, gợi lại (một kỷ niệm).
wake	(ngoại động từ) thức canh (người chết).
wakeful	(tính từ) thao thức, không ngủ được.
wakeful	(tính từ) cảnh giác, tỉnh táo.
wakefully	(phó từ) thao thức, không thể ngủ được (người).
wakefully	(phó từ) cảnh giác, tỉnh táo.
wakefully	(phó từ) ngủ ít, không ngủ được, thức trắng (về một đêm).
wakefulness	(danh từ) sự mất ngủ, sự không ngủ được.
wakefulness	(danh từ) sự cảnh giác, sự tỉnh táo.
wakeless	(tính từ) say; không thức giấc (giấc ngủ).
wakeman	(danh từ) (số nhiều wakemen) (từ cổ, nghĩa cổ) người canh giữ; người bảo vệ.
waken	(ngoại động từ) đánh thức.
waken	(ngoại động từ) gợi lại (kỷ niệm).
waken	(nội động từ) thức dậy, tỉnh dậy.
wakener	(danh từ) người đánh thức, người gọi dậy.
wakener	(danh từ) (thông tục) cái bợp đầu; cú đánh bất ngờ; chuyện bất ngờ khó chịu.
wakening	(danh từ) sự đánh thức.
wakening	(danh từ) sự thức dậy, sự tỉnh dậy.
wakening	(danh từ) sự gợi lại.
wale	(danh từ) vết lằn (roi).
wale	(danh từ) sọc nổi (nhung kẻ).
wale	(danh từ) (kỹ thuật) thanh giảm chấn.
wale	(ngoại động từ) đánh lằn da.
wale	(ngoại động từ) dệt thành sọc nổi.
wale	(ngoại động từ) (quân sự) đan rào bảo vệ, đan sọt nhồi đất làm công sự bảo vệ.
walk	(danh từ) sự đi bộ; sự bước.
walk	(danh từ) sự dạo chơi.
walk	(danh từ) cách đi, cách bước, dáng đi.
walk	(danh từ) quãng đường (đi bộ).
walk	(danh từ) đường, đường đi dạo chơi.
walk	(danh từ) đường đi, vòng đi thường lệ.
walk	(danh từ) (thể dục, thể thao) cuộc đi bộ thi.
walk	(danh từ) (nghĩa bóng) tầng lớp xã hội; nghề nghiệp; (từ mỹ, nghĩa mỹ) ngành, lĩnh vực hoạt động.
walk	(danh từ) bãi rào (chăn nuôi); sân nuôi (gà vịt).
walk	(nội động từ) đi, đi bộ.
walk	(nội động từ) đi tản bộ.
walk	(nội động từ) hiện ra, xuất hiện (ma).
walk	(nội động từ) (từ cổ, nghĩa cổ) sống, ăn ở, cư xử.
walk	(ngoại động từ) đi, đi bộ, đi lang thang.
walk	(ngoại động từ) cùng đi với; bắt đi; tập cho đi, dắt đi, dẫn đi.
walk	(ngoại động từ) .
walk-on	(danh từ) (sân khấu) vai phụ.
walk-out	(danh từ) (từ mỹ, nghĩa mỹ) cuộc đình công.
walk-over	(danh từ) cuộc thi đấu thắng dễ dàng; cuộc thi dễ thắng vì không có đối thủ.
walk-up	(danh từ) (từ mỹ, nghĩa mỹ), (thông tục) nhà không có thang máy.
walkable	(tính từ) có thể đi bộ qua được.
walkabout	(danh từ) thời kỳ đi lang thang trong rừng cây của một thổ dân (ở uc).
walkabout	(danh từ) cuộc vi hành (cuộc đi dạo không chính thức trong đám quần chúng của một nhân vật quan trọng; nhất là một người trong hoàng gia).
walkaway	(danh từ) cuộc thi đấu thắng dễ dàng.
walker	(danh từ) người đi bộ.
walker	(danh từ) người dạo chơi.
walker	(danh từ) (thể dục, thể thao) vận động viên đi bộ.
walker	(danh từ) (động vật học) chim chạy.
walker	(thán từ) (walker) (từ lóng) nói láo!, bịa!.
walker-on	(danh từ) (sân khấu) vai phụ.
walkie-hearie	(danh từ) (từ mỹ; (từ lóng)) điện đài xách tay.
walkie-lookie	(danh từ) (từ lóng) đài truyền hình xách tay.
walkie-talkie	(danh từ) (từ mỹ, nghĩa mỹ), (quân sự), (từ lóng) điện đài xách tay.
walking	(danh từ) sự đi, sự đi bộ.
walking	(danh từ) sự đi dạo.
walking	(tính từ) đi bộ.
walking	(tính từ) đi dạo.
walking	(tính từ) đại diện công đoàn (đi xuống các cơ sở, đi gặp bọn chủ...).
walking	(tính từ) diễn viên nam (nữ) đóng vai cho có mặt (không cần tài lắm).
walking rein	(danh từ) dây buộc vào bộ đai nhẹ của trẻ em nhỏ đang tập đi.
walking-dress	(danh từ) quần áo mặc đi phố.
walking-match	(danh từ) (thể thao) cuộc thi đi bộ.
walking-orders	(danh từ) (thông tục) to get the walking-papers bị đuổi, bị mất việc.
walking-out	(danh từ) sự đi ra ngoài (đi dạo).
walking-papers	(danh từ) (thông tục) to get the walking-papers bị đuổi, bị mất việc.
walking-shoes	(danh từ) giầy dã ngoại (gót thấp).
walking-stick	(danh từ) gậy, can.
walking-ticket	(danh từ) (thông tục) to get the walking-papers bị đuổi, bị mất việc.
walking-tour	(danh từ) cuộc đi chơi bộ.
walkman	(danh từ) máy cát-xét nhỏ có tai nghe có thể đeo và nghe khi đi dạo.
walkmans	(danh từ) máy cát-xét nhỏ có tai nghe có thể đeo và nghe khi đi dạo.
walkway	(danh từ) đường dành cho người đi bộ.
wall	(danh từ) tường, vách.
wall	(danh từ) thàn, thành luỹ, thành quách.
wall	(danh từ) lối đi sát tường nhà trên hè đường.
wall	(danh từ) rặng cây ăn quả dựa vào tường; bức tường có cây ăn quả dựa vào.
wall	(danh từ) (địa lý, địa chất) vách ngoài vỉa.
wall	(danh từ) (giải phẫu) thành.
wall	(danh từ) bị gạt bỏ.
wall	(danh từ) bị phá sản, khánh kiệt; thất bại.
wall	(danh từ) dồn ai vào chân tường, dồn ai vào thế bí.
wall	(danh từ) húc đầu vào tường (nghĩa đen & nghĩa bóng).
wall	(danh từ) (xem) see.
wall	(danh từ) (xem) ear.
wall	(danh từ) khôn sống vống chết.
wall	(danh từ) (xem) back.
wall	(ngoại động từ) xây tường bao quanh, xây thành bao quanh.
wall	(ngoại động từ) xây tường xung quanh.
wall	(ngoại động từ) ngăn bằng một bức tường.
wall	(ngoại động từ) xây bịt lại.
wall street	(danh từ) (kinh tế học) phố wall.
wall street	(danh từ) (từ mỹ, nghĩa mỹ) phố uôn (ở niu-oóc, khu tập trung những nhà tư bản tài chính mỹ).
wall-bars	(danh từ) (thể thao) thang thể dục; thang thẳng đứng.
wall-eye	(danh từ) mắt có vảy cá.
wall-eyed	(tính từ) có vảy cá ở mắt.
wall-lamp	(danh từ) đèn treo tường.
wall-newspaper	(danh từ) báo tường, báo liếp.
wall-painting	(danh từ) bức tranh tường.
wall-plate	(danh từ) (kiến trúc) rầm ngang; xà ngang.
wall-stone	(danh từ) đá xây nhà.
wall-to-wall	(phó từ, adj) phủ kín sàn (lớp lát sàn nhà).
walla	(danh từ) (anh-an) người làm, người làm công.
walla	(danh từ) người.
wallaby	(danh từ) (động vật học) con canguru nhỏ.
wallaby	(danh từ) (số nhiều) (thông tục) người uc.
wallaby	(danh từ) đi lang thang ngoài đường, đi kiếm việc làm.
wallah	(danh từ) (anh-an) người làm, người làm công.
wallah	(danh từ) người.
wallboard	(danh từ) (kiến trúc) ván lát tường.
walled	(tính từ) có tường bao quanh; (từ lóng) như có tường bao quanh.
walled	(tính từ) (lịch sử) có công sự bao bọc.
waller	(danh từ) thợ nề; thợ xây.
wallet	(danh từ) đãy, bị (của người ăn mày); túi dết.
wallet	(danh từ) cặp đựng giấy má.
wallet	(danh từ) bao da, xắc cốt (đựng đồ chữa xe đạp...).
wallet	(danh từ) vì tiền.
wallflower	(danh từ) (thực vật học) cây quế trúc.
wallflower	(danh từ) (thông tục) cô gái ngồi tựa tường không ai mời nhảy (trong buổi khiêu vũ).
wallie	(danh từ) người hầu phòng; đầy tớ; gia nhân.
walling	(danh từ) sự xây tường.
walling	(danh từ) (kiến trúc) vật liệu xây tường; tường vách.
wallop	(danh từ) (từ lóng) cái quất, cái vụt mạnh; trận đòn đau.
wallop	(danh từ) rượu bia.
wallop	(ngoại động từ) (từ lóng) quất mạnh, vụt đau, đánh đau.
walloping	(danh từ) trận đòn đau, trận đòn túi bụi.
walloping	(tính từ) (từ mỹ, nghĩa mỹ), (từ lóng) lớn vô cùng; cừ, cừ khôi, kỳ lạ.
wallow	(danh từ) bãi trâu đằm, bãi đằm.
wallow	(nội động từ) đằm mình (trong bùn).
wallow	(nội động từ) (nghĩa bóng) đam mê, đắm mình.
wallpaper	(danh từ) giấy dán tường.
wally	(danh từ) (thông tục) kẻ ngu ngốc, người ngớ ngẩn, người ngu đần, người dại dột.
walnut	(danh từ) quả óc chó.
walnut	(danh từ) (thực vật học) cây óc chó.
walnut	(danh từ) gỗ cây óc chó.
walnut-tree	(danh từ) (thực vật học) cây óc chó.
walras law	(danh từ) (kinh tế học) định luật walras.
walrus	(danh từ) (động vật học) con moóc.
walrus	(danh từ) râu mép quặp xuống.
walrus moustache	(danh từ) (thông tục) ria quặp (ria rậm và dài rủ xuống ở hai bên mép).
waltz	(danh từ) điện nhảy vanxơ.
waltz	(danh từ) (âm nhạc) cho điệu vanxơ.
waltz	(nội động từ) nhảy vanxơ.
waltzer	(danh từ) người nhảy vanxơ.
wamble	(danh từ) bước đi không vững, lảo đảo.
wamble	(danh từ) sự chóng mặt; sự loạng choạng.
wamble	(danh từ) cảm giác lợm giọng, buồn nôn.
wamble	(nội động từ) đi không vững, đi lảo đảo.
wamble	(nội động từ) chóng mặt; loạng choạng.
wamble	(nội động từ) cảm thấy lợm giọng, cảm thấy buồn nôn.
wampee	(danh từ) (thực vật học) cây hồng bì.
wampum	(danh từ) chuỗi vỏ sò (dùng làm tiền hoặc để trang sức của thổ dân mỹ).
wampus	(danh từ) (từ lóng) kẻ đần độn; đồ thộn.
wamus	(danh từ) (từ mỹ, nghĩa mỹ) áo khoác vải thô.
wan	(tính từ) xanh xao; nhợt nhạt, yếu ớt.
wan	(tính từ) uể oải, mệt mỏi, không thần sắc (người).
wand	(danh từ) đũa thần, gậy phép (của bà tiên, thầy phù thuỷ).
wand	(danh từ) que đánh nhịp (của nhạc trưởng).
wand	(danh từ) gậy quyền, quyền trượng.
wand-bearer	(danh từ) người cầm quyền trượng (trong các đám rước).
wander	(nội động từ) đi thơ thẩn, đi lang thang.
wander	(nội động từ) đi lạc đường, lầm đường, chệch đường (nghĩa đen & nghĩa bóng).
wander	(nội động từ) quanh co, uốn khúc (con sông...).
wander	(nội động từ) nói huyên thiên; nghĩ lan man; lơ đễnh.
wander	(nội động từ) mê sảng.
wander	(ngoại động từ) đi lang thang khắp.
wanderer	(danh từ) người đi lang thang, người nay đây mai đó.
wanderer	(danh từ) con vật lạc đàn.
wanderer	(danh từ) người lầm đường lạc lối.
wandering	(danh từ) sự đi lang thang.
wandering	(danh từ) (nghĩa bóng) sự lạc hướng, sự chệch hướng.
wandering	(danh từ) sự nghĩ lan man; sự lơ đễnh.
wandering	(danh từ) (số nhiều) cuộc du lịch dài ngày.
wandering	(danh từ) (số nhiều) lời nói mê.
wandering	(tính từ) lang thang.
wandering	(tính từ) quanh co, uốn khúc.
wandering	(tính từ) không định cư, nay đây mai đó.
wandering	(tính từ) vẩn vơ, lan man; lơ đễnh.
wandering	(tính từ) lạc lõng, không mạch lạc.
wandering	(tính từ) mê sảng; nói mê.
wanderlust	(danh từ) tính thích du lịch.
wandsman	(danh từ) (số nhiều wandsmen) người cầm quyền trượng.
wandsman	(danh từ) (tôn giáo) người trông coi nhà thờ.
wane	(danh từ) (thiên văn học) sự khuyết, tuần trăng khuyết.
wane	(danh từ) (nghĩa bóng) sự tàn; lúc tàn, lúc xế, lúc hết thời.
wane	(nội động từ) khuyết, xế (trăng).
wane	(nội động từ) (nghĩa bóng) giảm, suy yếu, tàn tạ.
wangle	(danh từ) thủ đoạn, mánh khoé.
wangle	(ngoại động từ) (từ lóng) đạt (mục đích gì) bằng thủ đoạn mánh khoé.
wangler	(danh từ) người hay dùng thủ đoạn mánh khoé.
wangling	(danh từ) sự dùng thủ đoạn mánh khoé (để đạt mục đích gì).
wank	(động từ) thủ dâm.
wank	(danh từ) sự thủ dâm, hành động thủ dâm.
wanker	(danh từ) người bất tài, người ngu đần, người lười biếng.
wanker	(danh từ) người thủ dâm.
wanly	(tính từ) xanh xao; vàng vọt; nhợt nhạt (người, bề ngoài của anh ta ).
wanly	(tính từ) uể oải, mệt mỏi, không thần sắc (người).
wanness	(danh từ) sự xanh xao; sự vàng vọt; sự nhợt nhạt (người, bề ngoài của anh ta ).
wanness	(danh từ) sự uể oải, sự mệt mỏi, tình trạng không thần sắc (người).
want	(danh từ) sự thiếu, sự không có, sự khuyết.
want	(danh từ) sự cần, sự cần thiết.
want	(danh từ) ((thường) số nhiều) nhu cầu, những cái cần thiết.
want	(danh từ) cảnh túng thiếu, cảnh nghèo.
want	(ngoại động từ) thiếu, không có.
want	(ngoại động từ) cần, cần có, cần dùng.
want	(ngoại động từ) muốn, muốn có.
want	(ngoại động từ) tìm, kiếm, tìm bắt, truy nã.
want	(nội động từ) thiếu, không có.
want	(nội động từ) túng thiếu.
want creation	(danh từ) (kinh tế học) tạo ra mong muốn tiêu dùng.
want-ad	(danh từ) (từ mỹ, nghĩa mỹ), (thông tục) rao vặt (ở trên báo...).
want-ads	(danh từ) <mỹ, thgt> rao vặt (ở trên báo...).
wantage	(danh từ) (từ mỹ, nghĩa mỹ), (thương mại) số tiền thiếu hụt (chi nhiều hơn thu).
wanted	(tính từ) cần, được cần đến, được yêu cầu, được đòi hỏi.
wanted	(tính từ) bị tìm bắt, bị truy nã.
wanting	(tính từ) (+ in) thiếu, không có.
wanting	(tính từ) (thông tục) ngu, đần.
wanting	(giới từ) thiếu, không có.
wanton	(tính từ) tinh nghịch, nghịch gợm; đùa giỡn.
wanton	(tính từ) lung tung, bậy bạ, bừa bãi; vô cớ, không mục đích.
wanton	(tính từ) phóng đãng, dâm đãng, dâm ô, bất chính.
wanton	(tính từ) tốt tươi, sum sê, um tùm.
wanton	(tính từ) (thông tục) lố lăng, loạn.
wanton	(danh từ) người đàn bà dâm đãng.
wanton	(nội động từ) nô đùa, đùa giỡn.
wantonly	(phó từ) bướng, ngang ngạnh; cố tình (hành động).
wantonly	(phó từ) tinh nghịch, nghịch gợm, đỏng đảnh; đùa giỡn.
wantonly	(phó từ) lố lăng, phóng đãng, dâm ô.
wantonly	(phó từ) bừa bãi, trái đạo đức.
wantonly	(phó từ) không khiêm tốn, không giản dị.
wantonly	(phó từ) tốt tươi, sum sê, um tùm, rất phong phú (sự sinh trưởng ).
wantonness	(danh từ) sự tinh nghịch; sự đùa giỡn.
wantonness	(danh từ) tính chất lung tung, tính chất bậy bạ, tính chất bừa bãi; sự vô cớ.
wantonness	(danh từ) tính phóng đãng.
wantonness	(danh từ) sự sum sê, sự um tùm.
wapentake	(danh từ) khu; địa hạt.
wapentake	(danh từ) toà án khu.
wapiti	(danh từ) (động vật học) hươu bắc mỹ.
war	(danh từ) chiến tranh.
war	(danh từ) đấu tranh.
war	(danh từ) (định ngữ) chiến tranh.
war	(nội động từ) (+ down) lấy chiến tranh để khuất phục.
war	(nội động từ) (nghĩa bóng) đấu tranh, chống lại, đối chọi, mâu thuẫn.
war	(nội động từ) (từ cổ, nghĩa cổ) (+ against, with) đánh nhau, gây chiến, xung đột.
