a-đô-nít	(dtừ) adonis.
ametit	(dtừ) amethyst.
amiăng	() asbestos.
amiđaloit	(dtừ) amygdaloid.
amiđaloit	(ttừ) amygdaloid.
amiđan	() tonsil.
amiđin	(dtừ) amidin.
amiđola	(dtừ) amidol.
amilopxin	(dtừ) amylopsin.
amin	(dtừ) amine.
amip	(ttừ) amoebic, amoeboid.
amit	(dtừ) amide.
amoni	(dtừ) ammonium.
amoni	(dtừ) (bổ ngữ) ammonium.
amoni clorua	(dtừ) sal-ammoniac.
amoni hóa	(dtừ) ammonification.
amoniac	(dtừ) ammonia.
amoniac	(ttừ) ammoniac, ammoniacal.
amonit	(dtừ) ammonite.
ampe	() ampere.
ampe giây	(dtừ) ampere-second.
ampe giờ	(dtừ) ampere-hour.
ampe kế	(dtừ) amperemeter.
ampe vòng	(dtừ) ampere-turn.
ampere	(dtừ) ampere.
ampliđyn	(dtừ) amplidyne.
ampun	(dtừ) ampoule.
amyla	(dtừ) amyl.
amylic	(ttừ) amylic.
an	(ttừ) safe, secure, peaceful, tranquil.
an	(dtừ) peace, safety, tranquillity.
an-ba-ni	(ttừ) albanian.
an-giê-ri	(ttừ) algerian.
an ba ni	(dtừ) (greogr) albania.
an bang	() to pacify the country.
an bài	() to dispose.
an bài	() to preordain.
an bài	() to predestine.
an bần	() content with one's poverty, satisfied with one's lot.
an biên	() to pacify the border.
an bom	() album.
an côn	() surgical spirit.
an côn	() rubbing alcohol.
an cư	() to live peacefully, to enjoy a peaceful life.
an cư lạc nghiệp	(thngữ) to live and work in peace and contentment.
an dân	() to reassure the people.
an dật	() to live in peace.
an dưỡng	() to convalesce, to rest, to relax.
an dưỡng đường	(dtừ) health resort.
an dưỡng đường	(dtừ) sanatorium.
an giấc	(đtừ) to sleep soundly.
an giấc	(đtừ) to sleep fast.
an giấc ngàn thu	() to sleep the long sleep.
an giấc ngàn thu	() to sleep the sleep that knows no breaking.
an giấc ngàn thu	() to die.
an hảo	() peace, calm, stillness.
an hảo	() peaceful life.
an hưởng	(đtừ) to spend/enjoy peacefully.
an khang	() in security and good health.
an lạc	() peace and contentment.
an lòng	() xem an tâm.
an nam	() vietnam was named an_nam under the chinese and french dominations.
an nghỉ	() to rest in peace.
an nghỉ	() to lie at rest.
an nhàn	() leisured, leisurely.
an nhàn	() happy and contented.
an nhật	(dtừ) sabbath day.
an ninh	() security.
an ninh	() secure.
an ninh quốc gia	() state/national security.
an ninh tổ quốc	() state/national security.
an ninh trật tự	() public order.
an phận	() to count one's blessings.
an phận	() to be resigned to one's fate.
an phận	() to lead one's own life.
an phận	() to be content with one's lot.
an phủ	() facify.
an phủ sứ	(dtừ) mandarin responsible for pacification.
an sinh	() welfare.
an sinh xã hội	() social security.
an táng	() to bury.
an táng	() to inter.
an táng	() to lay to rest.
an tâm	() to set one's mind at rest.
an tâm	() to have peace of mind.
an tâm	() to feel secure.
an thân	() safe and sound.
an thân	() unharmed.
an thần	() to act as a tranquillizer.
an tịnh	() quiet.
an tịnh	() peaceful.
an toàn	() secure.
an toàn	() safe.
an toàn	() safeness.
an toàn	() safety.
an toàn	() security.
an toạ	() to take a seat.
an toạ	() to be seated.
an toạ	() to sit down.
an trí	() to exile.
an trí	() to deport.
an tức hương	(dtừ) benzoin, storax.
an ủi	() to comfort.
an ủi	() to console.
an ủi	() to solace.
an vị	() to be seated.
an vị	() to be in one's seat.
anbumin	(dtừ) albumin, albumen.
anbumin	(ttừ) albuminous.
anbuminoit	(dtừ) albuminoid.
ancaloit	(dtừ) alkaloid.
anđehyt	(dtừ) aldehyde.
ang	(dtừ) crock, container for areca-nuts and betel, earthen saucer, basin, tureen, container, bushel.
ang áng	(phó từ) about.
ang áng	(phó từ) approximately.
anh	() great britain.
anh	() united kingdom.
anh	() england.
anh	() (nói chung) the british.
anh	() the english.
anh	() elder brother.
anh	() xem anh họ.
anh	() xem anh ấy.
anh	() (form of generic appellation used with young men).
anh	() i.
anh	() me (when addressing one's younger brother or sister).
anh	() (used by a woman or girl addressing her husband or lover).
anh	() you.
anh	() your.
anh	() your husband.
anh ách	() having a bloated (blown up) stomach, feeling bloated (blown up).
anh ách	() having a disagreeable feeling.
anh ánh	() brilliant.
anh ánh	() shining.
anh ấy	() he.
anh ấy	() him.
anh cả	() eldest brother.
anh cầm cờ chạy hiệu	(dtừ) pawn.
anh cháu bác	(dtừ) cousin.
anh chàng	() lad.
anh chàng	() chap.
anh chàng	() fellow.
anh chàng	(đùa cợt) he.
anh chàng	(đùa cợt) him.
anh chàng ăn diện	(dtừ) jack-a-dandy, sport.
anh chàng ăn diện vô công rỗi nghề	(dtừ) johnny.
anh chàng ba hoa khó chịu	(dtừ) jay.
anh chàng bám váy phụ nữ	(dtừ) poodle-faker.
anh chàng bủn xỉn	(dtừ) nickel nurser.
anh chàng cả tin	(dtừ) mug.
anh chàng chưa ráo máu đầu	(dtừ) sprig.
anh chàng cò hương	(dtừ) corn-stalk.
anh chàng diện đúng mốt	(dtừ) jack-a-dandy.
anh chàng dông kixốt	(dtừ) don quixote.
anh chàng đang cầu hôn	(dtừ) fellow.
anh chàng đang theo đuổi một cô gái	(dtừ) fellow.
anh chàng đào hoa	(dtừ) lady-killer, sheik.
anh chàng đại lãn	(dtừ) lazy-bones.
anh chàng đầu sai	(dtừ) fag.
anh chàng ẻo là ẽo ợt	(dtừ) pansy.
anh chàng gà tồ	(dtừ) hobbledehoy.
anh chàng hay đi theo tán gái	(dtừ) dangler.
anh chàng hay lý sự cùn	(dtừ) sea lawyer.
anh chàng hay tán gái	(dtừ) lovelace.
anh chàng hà tiện	(dtừ) tightwad.
anh chàng hậu đậu	(dtừ) ox.
anh chàng hợm mình xấc xược	(dtừ) puppy.
anh chàng keo kiệt	(dtừ) nickel nurser.
anh chàng khoe khoang khoác lác	(dtừ) scaramouch.
anh chàng khờ dại	(dtừ) jay.
anh chàng khờ khạo	(dtừ) softhead, calf.
anh chàng lang thang	(dtừ) straggler.
anh chàng láu	(dtừ) slyboots.
anh chàng lười biếng	(dtừ) chair warmer.
anh chàng lười ngay xương	(dtừ) lazy-bones.
anh chàng nghiện rượu	(dtừ) souse.
anh chàng ngốc	(dtừ) jay, cully, sap-head.
anh chàng ngốc nghếch	(dtừ) calf.
anh chàng ngớ ngẩn khù khờ	(dtừ) sap-head.
anh chàng ngờ nghệch	(dtừ) softhead.
anh chàng ngu đần	(dtừ) ox.
anh chàng nhãi nhép	(dtừ) peanut.
anh chàng nịnh đầm	(dtừ) lady's man, ladies' man.
anh chàng nói khoác	(dtừ) blow-off.
anh chàng nổi tiếng là đào hoa	(dtừ) lady-killer.
anh chàng quê kệch	(dtừ) provincial.
anh chàng ranh mãnh	(dtừ) slyboots.
anh chàng số đen	(dtừ) jonah.
anh chàng tán gái	(dtừ) wooer.
anh chàng tò mò tọc mạch	(dtừ) peeping tom.
anh chàng tốt bụng	(thngữ) broth of the boy.
anh chàng trai trẻ	(dtừ) laddie.
anh chàng vô công rỗi nghề	(dtừ) chair warmer.
anh chẳng cần phải bận bịu vào việc ấy	(thngữ) you may save your pains (trouble).
anh chị	() elder brother and elder sister.
anh chị	() (nghĩa bóng) ringleader.
anh chị	() leading underworld figure.
anh chị em ruột	() siblings.
anh chồng	(dtừ) brother-in-law (elder brother of one's husband).
anh chồng bị cắm sừng	(dtừ) cuckold.
anh con bác	(dtừ) first-cousin, cousin.
anh con bác	(thngữ) second cousin, first cousin.
anh con bác	(thngữ) cousin german.
anh con cô con cậu	(dtừ) cousin.
anh con cô con cậu họ	(thngữ) second cousin.
anh con cô con cậu ruột	(thngữ) first cousin.
anh con cô con cậu ruột	(thngữ) cousin german.
anh con dì	(dtừ) cousin.
anh có khỏe không	(thngữ) how are you!.
anh có khỏe không	(thngữ) how do you do!.
anh có khỏe không	(thngữ) how d'ye do?.
anh cùng cha khác mẹ	(dtừ) half-blood, half-brother, stepbrother.
anh cùng mẹ khác cha	(dtừ) half-brother, stepbrother, half-blood.
anh cũng thế	(thngữ) same to you.
anh cứu thương	(dtừ) medic.
anh dũng	() of great fortitude.
anh dũng	() heroic.
anh dũng bội tinh	(thngữ) george cross, george medal.
anh dũng bội tinh victoria	(thngữ) victoria cross.
anh đang nghĩ gì mà mê mải thế	(thngữ) a penny for your thoughts?.
anh đào	() cherry.
anh em	() brothers.
anh em	() siblings.
anh em cọc chèo	() = a và b là anh em cọc chèo với nhau a and b are brothers-in-law (because they are the same family's sons-in-law).
anh em cùng cha khác mẹ	() half-brothers on the father's side.
anh em cùng mẹ khác cha	() half-brothers on the mother's side.
anh em cùng mẹ khác cha	() uterine brothers.
anh em đồng hao	() xem anh em cọc chèo.
anh em đồng nghiệp	(dtừ) brethren.
anh em đồng ngũ	(dtừ) brethren.
anh em họ	(ttừ) cousinly.
anh em kết nghĩa	() sworn brothers.
anh em kết nghĩa trích máu ăn thề	(dtừ) blood-brother.
anh em khinh trước	(anh em khinh truoc lang nuoc khinh sau,tục ngữ) family disharmony leads to national disaster.
anh em máu mủ ruột thịt	(dtừ) blood-brother.
anh em ruột	() siblings.
anh em ruột	() full brothers.
anh em ruột	() whole brothers.
anh em sinh đôi	() siamese twins.
anh em sinh đôi	() twin brothers.
anh hai	() second-eldest brother.
anh hai	() eldest brother (the eldest son of a south vietnamese family).
anh hào	() hero.
anh hề	(dtừ) jester, buffoon, jack pudding, fool, merry andrew, antic, mime.
anh hề chuyên nghiệp	(dtừ) funny-man.
anh hoa	() brilliance.
anh hoa	() quintessence.
anh hóa	(ngđtừ) anglicize.
anh họ	() cousin.
anh hùng	() hero.
anh hùng	() heroic.
anh hùng	() epic.
anh hùng ca	() epic.
anh hùng chiến tranh	() war hero.
anh hùng chủ nghĩa	() characteristic of self-seeking heroism, adventurous, reckless.
anh hùng dân tộc	() national hero.
anh hùng hào kiệt	() heroes.
anh hùng lao động	() hero of labour.
anh hùng liệt sĩ	() heroic martyrs.
anh hùng lực lượng vũ trang nhân dân	() hero of the people's armed forces.
anh hùng quân đội	() army hero.
anh hùng rơm	() to take unnecessary risks.
anh hùng rơm	() braggart.
anh hùng rơm	() swaggerer.
anh hùng rơm	() blusterer.
anh kiệt	(dtừ) outstanding man, hero.
anh lai ấn độ	(ttừ, dtừ) anglo-indian.
anh lái ngựa	(dtừ) coper.
anh linh	(dtừ) hallowed memory (of a deceased person).
anh minh	() clear-sighted.
anh minh	() visionary.
anh minh	() judicious.
anh minh	() perspicacious.
anh mõ	(dtừ) crier.
anh nghĩ sao	(thngữ) what about?.
anh ngốc	(dtừ) simp, simpleton.
anh ngữ	() english language.
anh ngữ	() english.
anh nhi	(dtừ) babies, infants.
anh nuôi	() cook (in the army).
anh nuôi	() foster brother.
anh phệ	(dtừ) fatso.
anh phóng viên mới vào nghề	(dtừ) cub.
anh quân	(dtừ) wise king, clear-sighted monarch.
anh quỷnh	(dtừ) simpleton.
anh rể	(dtừ) brother-in-law (husband of one's elder sister).
anh ruột	() one's full brother.
anh ruột	() one's own brother.
anh ta	() xem anh ấy.
anh ta ăn rất khỏe	(thngữ) would rather keep him a week than a fortnight.
anh ta bỏ lâu không luyện tập	(thngữ) his hand is out.
anh ta chưa quen tay	(thngữ) his hand is out.
anh ta là một trung phong quái kiệt	(thngữ) he is a demon centre-forward.
anh ta ở vào thế có lợi	(thngữ) the balance of advantage lies with him.
anh ta rất đắc lực	(thngữ) no flies on him.
anh ta rất được việc	(thngữ) no flies on him.
anh ta rất láu	(thngữ) no flies on him.
anh ta sống độc thân không có gia đình	(thngữ) his hat covers his family.
anh tài	(dtừ) outstanding talent, great talent, luminary.
anh thanh niên nông thôn cục mịch	(dtừ) swain.
anh thảo	(dtừ) primrose, primula.
anh thắng cuộc	(thngữ) the game is yours.
anh thộn	(dtừ) simp, simpleton.
anh thư	(dtừ) heroine.
anh thử nghĩ mà xem	(thngữ) now, if you please.
anh thử tưởng tượng xem	(thngữ) now, if you please.
anh tuấn	(ttừ) remarkable.
anh tuấn	(ttừ) notable.
anh tuấn	(ttừ) distinguished.
anh tuấn	(ttừ) eminent.
anh tú	(ttừ) elegant and clever.
anh túc	() marijuana.
anh túc	() poppy.
anh và người thân	(thngữ) you and yours.
anh và pháp	(ttừ) anglo-french.
anh vàng	(dtừ) oriole.
anh văn	() xem anh ngữ.
anh vợ	() brother-in-law (elder brother of one's wife).
anh vũ	(dtừ) như vẹt lùn.
anh yêu quí	(dtừ) hinny.
anh yêu quý	(dtừ) honey.
anhydrit	(dtừ) anhydride.
anilin	(dtừ) aniline.
anion	(dtừ) anion.
anke	(dtừ) anker.
anot	(dtừ) anode.
anôt	(ttừ) anodal.
anôtcực dương	(ttừ) anodic.
anpaca	(dtừ) alpaca.
anten	(dtừ) horn.
anten	(ttừ) antennary.
anten khung	(dtừ) loop-aerial.
antimon	(dtừ) antimony.
antimon	(ttừ) antimonial.
antimonat	(dtừ) antimonate.
antimonic	(ttừ) antimonic.
antimono	(ttừ) antimonious.
antiproton	(dtừ) antiproton.
antipyrin	(dtừ) antipyrin.
antoxian	(dtừ) anthocyanin.
antraxen	(dtừ) anthracene.
antraxit	(ttừ) anthracitic.
ao	() pond.
ao	() to measure roughly.
ao	() to measure approximately.
ao bùn	() muddy pond.
ao cá	() fishpond.
ao chuôm	(dtừ) pond and pool.
ao hồ	(dtừ) pond and lake.
ao nuôi cá	(dtừ) crawl, nursery, fish preserve, nurse-pond.
ao nuôi lươn	(dtừ) eel-pond.
ao sen	(dtừ) lotus pond.
ao thả cá	(dtừ) fish-pond, fish-farm, stew.
ao tù	() stagnant pond.
ao tù	() billabong.
ao ước	(đtừ) to wish, to long for, to crave for.
ao ước	(đtừ) to look forward to, to yearn for.
ao ước thiết tha	(nđtừ) pine.
aoxơ	(dtừ) ounce.
aplanat	(dtừ) aplanat.
aplanatic	(ttừ) aplanatic.
apôcrômatic	(dtừ) apochromatism.
apôcrômatic	(ttừ) apochromatic.
apxin	(ttừ) absinthian.
argumen	(dtừ) argument.
aria	(dtừ) aria.
ariôzô	(dtừ) arioso.
arsenit	(dtừ) arsenite.
ascobic	(ttừ) ascorbic.
asen	(dtừ) arsenic.
asenic	(ttừ) arsenic.
asenơ	(ttừ) arsenious.
asin	(dtừ) achilles.
astimatic	(ttừ) astigmatic.
atabrin	(dtừ) atabrine.
ati địa ngục	() the lowest hell of buddhism.
atisô	(dtừ) artichoke.
atmôfe	(dtừ) atmosphere.
atpirin	(dtừ) aspirin.
atropin	(dtừ) atropine.
au	() bright and cheerful.
auric	(ttừ) auric.
auxin	(dtừ) auxin.
axeton	(dtừ) acetone.
axêtic	(ttừ) acetic.
axêtylen	(dtừ) acetylene.
axit	() acid.
axit acrylic	() acrylic acid.
axit amin	() amino acid.
axit atxcobic	() ascorbic acid.
axit axêtic	() acetic acid.
axit bão hòa	() saturated acid.
axit béo	() aliphatic/fatty acid.
axit cacbonic	() carbonic acid.
axit chưa bão hòa	() unsaturated acid.
axit cloric	() chloric acid.
axit dễ bay hơi	() volatile acid.
axit đậm đặc	() concentrated acid.
axit đêôxiribônuclêic	() deoxyribonucleic acid.
axit đêôxiribônuclêic	() dna.
axit hóa	() to acidify.
axit hữu cơ	() organic acid.
axit khan	() anhydrous acid.
axit lactic	() lactic acid.
axit mạnh	() strong/hard acid.
axit nicôtinic	() nicotinic acid.
axit nitric	() nitric acid.
axit no	() saturated acid.
axit nuclêic	() nucleic acid.
axit phôtphoric	() phosphoric acid.
axit ribônuclêic	() ribonucleic acid.
axit tái sinh	() recovered acid.
axit thơm	() aromatic acid.
axit trung bình	() moderate acid.
axit uric	() uric acid.
axit vô cơ	() inorganic/mineral acid.
axit xunfuric	() sulfuric acid.
axit yếu	() weak acid.
á	() oh!.
á	() ouch! (exclamation of pain).
á	() xem châu á.
á-căn-đình	(dtừ) argentina, the argentine.
á âu	() eurasia.
á âu	() orient.
á châu	() xem châu á.
á đông	() oriental.
á hậu	() second-best (in a beauty contest).
á khẩu	() aphasia.
á khôi	(dtừ) second winner in a contest.
á kim	() metalloid.
á kịch	(dtừ) pantomime.
á nam á nữ	() hermaphroditic.
á nam á nữ	() bisexual.
á nam á nữ	() androgynous.
á nam á nữ	() epicene.
á nguyên	(dtừ) second-best (in old mandarinal exams).
á nhiệt đới	(ttừ) subtropical.
á phi	() afro-asiatic.
á phiện	(dtừ) như nha phiến.
á rập	() arab.
á rập	() arabian.
á rập	() arabic.
á rập	() (người á rập) arab.
á rập	() arabian.
á thánh	() demigod.
á thánh	() demigoddess.
á thần	(dtừ) demigod.
á tinh	(ttừ) crystalloid.
ác	(dtừ) crow, raven.
ác	(dtừ) (nghĩa bóng) sun.
ác	(ttừ) cruel, malicious.
ác	(ttừ) severe, fierce.
ác	(ttừ) ripping.
ác	(ttừ) rattling good.
ác bá	(dtừ) cruel landlord.
ác bá	(dtừ) village tyrant.
ác báo	(đtừ) to punish.
ác báo	(đtừ) to chastise.
ác cảm	() dislike.
ác cảm	() aversion.
ác cảm	() antipathy.
ác chiến	() to fight violently/fiercely.
ác chiến	(đùa cợt) smart.
ác chiến	(đùa cợt) excellent.
ác chung	(dtừ) tragic death.
ác chung	(dtừ) bad end.
ác danh	(dtừ) evil name.
ác danh	(dtừ) bad reputation.
ác dâm	() (thói ác dâm) masochism.
ác dâm	() sadism.
ác dữ tợn	(ttừ) devil-like.
ác đảng	(dtừ) evil faction.
ác đảng	(dtừ) gang.
ác điểu	(dtừ) fierce bird.
ác điểu	(dtừ) bird of prey.
ác đồ	(dtừ) rough.
ác đồ	(dtừ) rowdy.
ác đồ	(dtừ) scoundrel.
ác đồ	(dtừ) rascal.
ác độc	() xem độc ác.
ác giả ác báo	(tục ngữ) sow the wind and reap the whirlwind.
ác giả ác báo	(tục ngữ) curses come home to roost.
ác hại	(ttừ) harmful.
ác hại	(ttừ) fatal.
ác hiểm	(ttừ) dangerous.
ác hiểm	(ttừ) fatal.
ác hơn	(ttừ) worse.
ác kế	(dtừ) devilish plot.
ác khẩu	() xem ác miệng.
ác là	(dtừ) magpie.
ác liệt	() fierce.
ác liệt	() violent.
ác ma	(dtừ) evil spirit.
ác ma	(dtừ) cacodemon.
ác miệng	() foul-mouthed.
ác miệng	() having an evil tongue.
ác mó	(dtừ) parrot.
ác mó	(dtừ) shrew.
ác mó	(dtừ) termagant.
ác mô ni ca	() harmonica.
ác mô ni ca	() mouth-organ.
ác mộng	() nightmare.
ác mộng	() incubus.
ác mộng ám ảnh	(ttừ) hagridden.
ác nghiệt	(ttừ) cruel.
ác nghiệt	(ttừ) heartless.
ác nghiệt	(ttừ) ruthless.
ác nghiệt	(ttừ) inhumane.
ác nghiệt	(ttừ) malevolent.
ác nhân	(dtừ) villain.
ác nhân	(dtừ) miscreant.
ác nhân	(dtừ) scoundrel.
ác ôn	(dtừ) thug.
ác ôn	(dtừ) fiend.
ác ôn	(dtừ) hoodlum.
ác ôn	(dtừ) evil-doer.
ác ôn	(dtừ) man of sin.
ác ôn	(dtừ) bully-boy.
ác phụ	(dtừ) wicked woman.
ác quỷ	(dtừ) fiend.
ác quỷ	(dtừ) satan.
ác quỷ	(dtừ) lucifer.
ác quỷ	(dtừ) old harry.
ác tà	() sunset, declining sun.
ác tăng	(dtừ) bad buddhist monk.
ác tâm	(dtừ) malice.
ác tâm	(dtừ) malignity.
ác tâm	(dtừ) heartlessness.
ác tập	(dtừ) bad habit.
ác tập	(dtừ) terrible vice.
ác tật	(dtừ) dangerous/fatal illness.
ác thú	(dtừ) beast of prey, wild beast, predator.
ác tính	() malignant.
ác tưởng	(dtừ) evil thought.
ác vàng	(dtừ) sun.
ác xú	() disgusting, distasteful.
ác xú	() nauseous.
ác xú	() repellent.
ác ý	() spite.
ác ý	() malice.
ác ý	() malignity, ill will.
ác ý	() malicious intent.
ác ý	() evil intention.
ách	() yoke.
ách	() to come to a standstill.
ách	() to be at a standstill.
ách	() to stop.
ách	() to halt.
ách	() having a bloated stomach.
ách	() feeling bloated.
ách	() having a disagreeable feeling.
ách áp bức	(dtừ) yoke.
ách kìm kẹp	(dtừ) gripe.
ách tắc	() (ách tắc giao thông) traffic jam.
ách tắc	() traffic tie-up.
ách vận	() xem vận rủi.
ái	(thán từ) oh!.
ái	(thán từ) ah!.
ái	(thán từ) ouch!.
ái	(thán từ) ooh! (exclamation of pain or surprise).
ái ân	() to kiss and cuddle.
ái chà	(thán từ) oh!, ha!.
ái chủng	(dtừ) racial affiliation.
ái đức	(dtừ) charity.
ái hữu	(dtừ) friendly society, guild.
ái khanh	(đại từ) you.
ái khanh	(đại từ) darling.
ái khanh	(đại từ) my love (used by king to his imperial concubine).
ái lực	(dtừ) affinity.
ái lực chọn lọc	(ttừ) elective.
ái mộ	() xem hâm mộ.
ái nam ái nữ	(ttừ) hermaphroditic, bisexual, androgynous.
ái ngại	() to feel compassion.
ái ngại	() to feel anxious/sorry.
ái nhĩ lan	() ireland.
ái nhĩ lan	() irish.
ái nữ	() beloved daughter.
ái ố	() love and hate.
ái phi	(dtừ) favorite queen.
ái quần	() xem bác ái.
ái quốc	() to love one's country.
ái quốc	() to be a patriot.
ái thiếp	() concubine.
ái tình	() love.
ái tình và nước lã	(thngữ) to love in a cottage.
ám	(dtừ) fish soup.
ám	(dtừ) thick fish soup flavoured with herbs.
ám	(đtừ) to possess.
ám	(đtừ) to annoy, to worry.
ám	(đtừ) to darken, to stain, to obscure.
ám	(đtừ) to bother (with), to trouble, to disturb.
ám ảnh	() to obsess.
ám ảnh	() to haunt.
ám ảnh	() to beset.
ám ảnh sợ	(dtừ) phobia.
ám ảnh sợ bệnh dại	(dtừ) lyssophobia.
ám ảnh tâm trí	(thngữ) to get something on the brain.
ám chỉ	() to insinuate.
ám chỉ	() to allude to ....
ám chỉ	() to hint at ....
ám chỉ	() to refer to ....
ám chỉ	() to imply.
ám chỉ cá nhân	(ttừ) personal.
ám chúa	() despot.
ám chúa	() tyrant.
ám danh	(dtừ) designator.
ám dụ	() metaphor.
ám điểm	(dtừ) scotoma.
ám độn	(ttừ) obscure, ignorant.
ám hại	(đtừ) to attempt the life of.
ám hại	(đtừ) to harm, to hurt (secretly).
ám hiệu	(dtừ) secret signal, coded signal, password.
ám hiệu cho đồng bọn	(dtừ) echo.
ám hối	(ttừ) obscure.
ám hối	(ttừ) dark.
ám hối	(ttừ) gloomy.
ám kế	(dtừ) sinister plot.
ám khói	(ttừ) soot-blackened.
ám lệnh	(dtừ) secret order.
ám luật	(dtừ) secret rule.
ám lực	(dtừ) secret forces.
ám muội	(ttừ) shady, dubious, underhand, sinister, dishonest, crooked, doubtful, suspicious, questionable, fishy.
ám nghĩa	(dtừ) ambiguity.
ám ngục	(dtừ) dungeon, jail, gaol.
ám ngữ	(dtừ) coded text.
ám phổi	(dtừ) pulmonary tuberculosis.
ám quẻ	(đtừ) to trouble.
ám sát	() to murder.
ám sát	() to assassinate.
ám số	(dtừ) reference designator, code.
ám tàng	() implicit, tacit.
ám tả	() dictation.
ám thính	(dtừ) interception.
ám thị	(đtừ) to hint at, to insinuate, to suggest.
ám thị	(đtừ) to insinuate by suggestion.
ám tiêu san hô	() cay.
ám trợ	(đtừ) to give secret help to.
ám tự	(dtừ) code.
án	() high and narrow table.
án	() high desk.
án	() xem vụ án.
án	() sentence.
án	() judgement, verdict.
án	() to obstruct.
án	() to block the way.
án	() to bar.
án binh bất động	() not to throw one's troops into battle.
án binh bất động	() (nghĩa bóng) to avoid active service.
án binh bất động	() to take no action.
án chung thân	() life imprisonment.
án chung thân	() life-sentence.
án chung thân khổ sai	() hard labour/penal servitude for life.
án chung thẩm	() judgement without appeal.
án chung thẩm	() final judgement.
án khuyết tịch	() xem án vắng mặt.
án lệ	() test case.
án lệ	() legal precedent.
án lệnh	(dtừ) court order, warrant.
án lý	(dtừ) court opinion, dictum.
án mạch	() to feel the pulse.
án mạng	() murder, homicide.
án ngữ	() to obstruct the access.
án ngữ	() to block the entrance.
án ngữ	() to bar.
án phí	() legal costs.
