pa-tê	(dtừ) terrine.
phanh thuỷ lực	() hydraulic brake.
phanh trống	(dtừ) drum brake.
phao	(dtừ) float, buoy, life buoy, life saver.
phao	(dtừ) oil container in a lamp.
phao	(dtừ) set afloat.
phao âm	(dtừ) sonobuoy.
phao báo hiệu	() drift signal.
phao bằng ống lông	(dtừ) quill.
phao bần	(dtừ) cork.
phao bơi	() buoy, float.
phao câu	() rump.
phao câu	() parson's nose.
phao câu	() pope's nose.
phao cấp cứu	() lifebuoy.
phao cấp cứu	() lifebelt.
phao cấp cứu	() breeches-buoy.
phao chuông	(dtừ) bell-bouy.
phao có đèn	(dtừ) floating light.
phao cứu đắm	() xem phao cấp cứu.
phao cứu hộ	(dtừ) breeches-buoy.
phao cứu sinh	() xem phao cấp cứu.
phao dùng cho cấp cứu ở biển	(dtừ) life-raft.
phao đánh dấu chỗ có cá	(dtừ) dan.
phao đèn	() light buoy.
phao đèn khí	() gas-buoy.
phao đo tỷ trọng	(dtừ) areometer.
phao đồn	() circulate, spread a rumour, false report/false rumours.
phao đuôi	() tail float.
phao hơi	() pneumatic float.
phao khí	() fling away, throw off, give up forego, relinquish.
phao mìn	() mine buoy.
phao nâng	() camel.
phao neo	() mooring buoy.
phao ngôn	() set a rumour afloat.
phao phí	() squander, dissipate, waste, (fig) ruin.
phao ra một chuyện hoang đường	(ngđtừ) mythify.
phao săng	() carburetor float.
phao tang	() plant false evidence.
phao tập bơi	() water-wings.
phao tiêu	() marking buoy.
phao tiếng	() set a rumour afloat.
phao tin	() to spread a rumour.
phao tin	() to spread the report.
phao tin đồn	(dtừ) rumormongering.
phao tin đồn nhảm	() to spread untrue/false rumours.
phao tin vịt	() to spread untrue/false rumours.
phao truyền	() spread, retail (news, rumours).
phao trụ	() spar-buoy.
phao vu	() cast aspersions on somebody.
phao xăng	() float, carburetor float.
phao zerô	() buoy zero.
phau	() xem trắng phau, phau phau.
phau	() spotless, immaculate.
phau phau	() xem phau (láy).
phay	() địa lý fault.
phay	() enlarge with a fraise.
phay	() cleaver (dao phay).
phay	() (tech) cut, mill, milling.
phay nghịch	(dtừ) upcast, uplift.
phá	() lagoon.
phá	() to destroy.
phá	() to demolish.
phá	() to ruin.
phá	() to undermine.
phá	() to sap.
phá	() to interfere with....
phá	() to tamper with....
phá	() to meddle with....
phá	() to break.
phá	() to burst out.
phá án	() to quash a verdict.
phá án	() to annul a verdict.
phá án	() to open a criminal investigation.
phá âm mưu	() crush intrigues, thwart plots.
phá ấp chiến lược	() destroy strategic hamlets.
phá băng	() demolish, raze.
phá bằng	(ngđtừ) raze.
phá bằng mìn	(dtừ) blowing-up.
phá bê tông	() concrete piercing.
phá bỉnh	() cũng nói phá hoẵng.
phá bỉnh	() behave as a killjoy, act, as a wet blanket.
phá bĩnh	(đtừ) to behave as a killjoy, play a dirty trick.
phá bom	() disposal of bombs.
phá bom chưa nổ	(dtừ) bomb-disposal.
phá bom nổ chậm	(dtừ) bomb-disposal.
phá bóng cứu nguy	(dtừ) save.
phá bóng cứu nguy	(ngđtừ) save.
phá bỏ	() to do away with something.
phá bỏ	() to break down something.
phá bỏ những khu nhà ổ chuột	(dtừ) slum-clearance.
phá bỏ vật chướng ngại	(ngđtừ) unbarricade.
phá cách	() (cũ) violate the rule of prosody.
phá cách	() break the old order.
phá càn	() disrupt a sweep operation.
phá cầu	() destroy a bridge.
phá cỗ	() deal out (serve out) a mid-autumn festival cake and fruit.
phá của	() ruin one's fortune.
phá của	() squander money.
phá cửa	() break open the door, force open a door.
phá đám	() to be a killjoy/spoil-sport/troublemaker/stormy petrel.
phá đề	() begin (essay).
phá đi	(ngđtừ) unmake.
phá đổ	() overturn, tipover, topple, over.
phá đổ	() (fig), frustrate.
phá gia	() ruin one's family, ruin financially, bring to ruin, ruin oneself, run through a fortune.
phá giá	() to collapse.
phá giá	() to devaluate.
phá giá	() dumping.
phá giải	() win a prize as a challenger, win a prize from the holder.
phá giới	() unfrock oneself, break one's religious vow.
phá giới	() violate religious commandment.
phá giới	() transgression of a commandment.
phá hại	(đtừ) to min, to ravage.
phá hại	(đtừ) spoil.
phá hại	(đtừ) corrupt.
phá hại	(đtừ) damage.
phá hoang	() break (claim) virgin land.
phá hoang	() upturn virgin soil.
phá hoại	() to sabotage.
phá hoại	() to sap.
phá hoại	() to undermine.
phá hoại các cơ sở	() destroy bases.
phá hoại cuộc đình công	(nđtừ) scab.
phá hoại của công	() vandalize.
phá hoại của công	() vandalism.
phá hoại của đình công	(dtừ) strike-breaking.
phá hoại của địch	() enemy sabotage.
phá hoại dần	(ngđtừ) wear.
phá hoại dụng cụ máy móc để đấu tranh	(ngđtừ) ratten.
phá hoại dụng cụ máy móc để ngăn	(ngđtừ) ratten.
phá hoại đạo đức	(dtừ) demoralization.
phá hoại đạo đức	(ngđtừ) demoralize.
phá hoại mùa màng	() destroy crops.
phá hoại ngầm	() sabotage.
phá hoại tinh thần	() undermine morale.
phá hoại tổ chức	(dtừ) disorganization.
phá hoại trắng trợn	() blatant sabotage.
phá hoại tự do	(dtừ) liberticide.
phá hoại tự do	(ttừ) liberticide.
phá hoại và tung tin vịt	() sabotage and misrepresentation.
phá hoại văn minh	(ngđtừ) decivilise.
phá hoẵng	() như phá bỉnh.
phá hỏng	() frustrate.
phá huỷ	(đtừ) to destroy.
phá huỷ	(đtừ) to demolish.
phá huỷ	(đtừ) to ruin.
phá huỷ	(dtừ) destruction, demolishment, extinguishment, destructibility, devastation, dismantlement.
phá huỷ	(ngđtừ) extinguish, unmake, desolate, dismantle, devour, torpedo, unwork, fordo, sabotage, demolish, devastate, destroy.
phá huỷ	(thngữ) to blot out, to put the kibosh on something, to do for , eat into sth.
phá huỷ	(ttừ) destructive, destroyable, devouring, extinguishable, unmade, consumptive, devastating.
phá hủy đi	(thngữ) to lay the axe to the root of.
phá hủy đi	(ttừ) expendable.
phá hủy hoàn toàn	(dtừ) smash-up.
phá hủy hoàn toàn	(ngđtừ) pulverize.
phá kỷ lục	() to break the record.
phá kỷ lục	() to beat the record.
phá lên	(dtừ) gale.
phá lên	(thngữ) to break out, to burst out.
phá lệ	() to break the rules.
phá lệ	() to break with precedent/tradition.
phá lệ	(đùa cợt) to break one's diet.
phá luật	() to break/infringe/violate the law.
phá luật	() to break the rule(s).
phá lưới	(ngđtừ) net.
phá mà vào	(thngữ) to smash in, to break in.
phá mìn	(dtừ) minesweeper.
phá ngang	() drop out of school and look for a job, be a drop-out.
phá ngang	() give up one's studies, stop going to school, abandon one's work.
phá ngầm	() sabotage, undermine, torpedo.
phá ngầm hủy hoại	(ngđtừ) sap.
phá nhà	() destroy a house.
phá nổ	() break out, go off.
phá nước	() get a rash in an unfamiliar climate.
phá nước	() have a skin cruption (because of not being used to the climate).
phá phách	(đtừ) to devastate.
phá phách	(đtừ) destroy.
phá phách	(đtừ) ravage.
phá phách	(đtừ) pillage.
phá phách	(đtừ) plunder.
phá phách	(đtừ) loot.
phá phách	(đtừ) pesky.
phá quấy	(dtừ) xem phá thối.
phá quấy	(dtừ) to disturb, to harass.
phá quấy	(dtừ) corrupt discipline, disturb the peace.
phá rối	() to disturb.
phá rối	() to harass.
phá rối	() to derange.
phá rối om sòm	(dtừ) larrikinism.
phá rối tổ chức	(dtừ) disorganization.
phá rối tổ chức	(ngđtừ) disorganize.
phá rối trị an	() to cause a breach of the peace.
phá rối trị an	() to break the peace.
phá rối trị an	() to disturb the peace.
phá rừng	() to deforest.
phá rừng để trồng trọt	(ngđtừ) disafforest.
phá sản	() to fail completely.
phá sản	() to go bust/bankrupt/out of business.
phá sản	() to be brought to ruin.
phá sản lậu	() fraudulent bankruptcy.
phá sạch	(dtừ) obliteration.
phá sạch	(ngđtừ) scorch, unbuild, obliterate.
phá sập	() to sap.
phá tan	() break (silence, peace).
phá tan âm mưu	() smash a plot.
phá tan kế hoạch	() smash the plan.
phá tán	() run/through one's estate.
phá tán	() disspate/squander/waste one's money.
phá tân	() như phá trinh.
phá thai	() to abort.
phá thế kìm kẹp	() to break the grip.
phá thối	() (thông tục) như phá quấy.
phá thương phong	() tetanus.
phá tổ	(ngđtừ) unnest.
phá trận	() upset the enemy combat disposition.
phá trận	() smash up, defeat, annihitate.
phá trinh	() to take away the virginity of (a woman).
phá trinh	() to deflower.
phá trụi	() demolish, overthrow.
phá ước	() breach the contract.
phá vây	() (quân) break through (the enemy siege).
phá vòng vây	() break through a siege.
phá vỡ	() break through, break, defeat, smash up, breach.
phá vỡ cái gì	(thngữ) to bust sth up.
phá vỡ kế hoạch của ai	(thngữ) to play checkmate with somebody.
phá vỡ tổ chức bộ lạc	(ngđtừ) detribalize.
phá xa	() roast pea-nuts.
phá xập	() collapse.
phác	(đtừ) to sketch, to draft, outline.
phác hoạ	(đtừ) to sketch.
phác hoạ	(đtừ) to outline.
phác hoạ	(dtừ) design, designing, adumbration, delineation.
phác hoạ	(đtừ) sketch.
phác hoạ	(ngđtừ) delineate, crayon, adumbrate, design.
phác hoạ	(thngữ) to touch in, to touch off.
phác ma xi	() chemist's.
phác ma xi	() drugstore.
phác qua	() to outline, sketch.
phác ra	(thngữ) to block out (in).
phác ra những nét chính	(ngđtừ) outline.
phác thảo	() sketch out, outline, draft.
phác thảo cách trình bày	(ngđtừ) design.
phác thực	() (ít dùng) frank, sincere, plain and honest.
phác thực	() unsophisticated, unaffeeted, simple.
phác tính	() calculate approximatively.
phác tính	() estimate.
phách	() detachable head.
phách	() way, manner, mode.
phách	() vital spirit.
phách	() castanets.
phách	() boastful, haughty, supercilious, arrogant.
phách	() upper part of examination paper bearing examnee's name (with rọc cut up.
phách	() giáp put back).
phách	() heading.
phách	() soud.
phách không	() (radio) zero beat.
phách lác	() (địa phương).
phách lác	() như khoác lác.
phách lối	(ttừ) xem phách tấu.
phách lối	(ttừ) smiffy, haughty, snooty (slang), arrogant, conceited.
phách lực	() courage, determination.
phách mại	() sell by auction.
phách tấu	() (thông tục) như phách lối.
phách thủ	() applaud, clap.
phái	() to delegate.
phái	() to send.
phái	() to detach.
phái	() to appoint.
phái	() to nominate.
phái	() group.
phái	() faction.
phái	() sex.
phái bảo hoàng	() royalist party.
phái bộ	() mission.
phái bộ ngoại giao	() xem phái đoàn ngoại giao.
phái bộ quân sự	() xem phái đoàn quân sự.
phái bộ thương mại	() xem phái đoàn thương mại.
phái chủ hòa	() peace faction.
phái đẹp	() xem phái nữ.
phái đi	(ttừ) dimissory.
phái đoàn	() deputation.
phái đoàn	() delegation.
phái đoàn	() mission.
phái đoàn liên lạc	() liaison delegation.
phái đoàn ngoại giao	() diplomatic mission.
phái đoàn quân sự	() military mission.
phái đoàn thanh tra	() mission of inspection.
phái đoàn thương mại	() trade delegation.
phái đoàn thương mại	() trade mission.
phái gia-cô-banh	(ttừ) jacobinical, jacobinic.
phái giữa	(dtừ) centre.
phái hệ	() clique.
phái hữu	(dtừ) right.
phái hữu	(ttừ) right.
phái lãng mạn	() the romanticists.
phái lập thể	() cubism.
phái ly giáo	(dtừ) schism.
phái mạnh	() xem phái nam.
phái nam	() male/sterner/stronger sex.
phái nam	() mankind.
phái nam	() menfolk.
phái nữ	() women.
phái nữ	() fair/gentle/weaker sex.
phái nữ	() feminity.
phái nữ	() womankind.
phái phúc âm	(ttừ) evangelic.
phái quân chủ	(ttừ) white.
phái quây-cơ	(ttừ) friendly.
phái sinh	() (ngôn ngữ học) derivative.
phái tay phải	() right-hand side.
phái tả	(dtừ) leftism.
phái tả	(ttừ) leftist.
phái tả chân	() realist school.
phái tháng mười	(ttừ) octobrist.
phái thiểu số	() minority faction.
phái thoát ly thực tế	(dtừ) escapism.
phái thủ cựu	() conservatives.
phái tiêu dao	(ttừ) peripatetic.
phái ủng hộ chính phủ	(ttừ) ministerial.
phái viên	() messenger.
phái viên	() envoy.
phái viên mật	(dtừ) emissary.
phái vị lai	() a futurist.
phái yếu	() xem phái nữ.
phán	(dtừ) government clerk (thông phán, phán sự).
phán	(dtừ) utter, speak, solemnly.
phán	(dtừ) (coloq) mouth.
phán	(dtừ) chatter, jabber.
phán	(dtừ) to order.
phán	(dtừ) to judge.
phán	(dtừ) magistrate.
phán bảo	() command, order.
phán định	() decide, judge.
phán đoán	() judge.
phán đoán	() decide.
phán đoán	() work out.
phán đoán tình hình	() estimate the situation.
phán đoán trước	() judge in advance.
phán lệ	() jurisprudence.
phán lệ	() precedent.
phán quyết	(dtừ) pass sentence (on), sentence, verdict, adjudicate.
phán quyết	(dtừ) decision, decisive.
phán quyết cuối cùng	(dtừ) doom.
phán quyết cuối cùng	(thngữ) great (last) assize, great (last) inquest.
phán quyết đúng sai	(dtừ) casuistry.
phán quyết trước	(ngđtừ) foredoom.
phán sự	() (cũ) senior clerk (in administrative service).
phán truyền	() order (said of a superior authority).
phán truyền	() command.
phán truyền	() direct.
phán xét	() to judge.
phán xử	() sentence (to), condemn (to).
phán xử	() judge.
pháo	() banger.
pháo	() firecracker.
pháo	() gun.
pháo	() cannon.
pháo	() artillery.
pháo	() (đánh cờ) castle.
pháo báo hiệu lâm nguy	(dtừ) distress-rocket.
pháo binh	() artillery.
pháo binh cơ giới	() motorized artillery.
pháo binh dã chiến	() field artillery.
pháo binh đi ngựa	(dtừ) horse-artillery.
pháo binh phản pháo	() counter-battery artillery.
pháo binh phòng không	() antiaircraft artillery.
pháo binh sư đoàn	() divisional artillery.
pháo binh tác chiến	() combat artillery.
pháo binh tầm xa	() long-range artillery.
pháo binh thả dù	() airborne artillery.
pháo binh thiết giáp	() armoured artillery.
pháo binh trợ chiến	() supporting artillery.
pháo binh yểm trợ	() supporting artillery.
pháo bông	() xem pháo hoa.
pháo bức kích	(dtừ) howitzer.
pháo cao xạ	() antiaircraft gun.
pháo cao xạ	() ack-ack.
pháo chống tăng	() antitank gun.
pháo chuột	() a kind of tiny firecrackers.
pháo cóc	() jumping jack.
pháo cối	() mortar.
pháo cối	() big firecracker.
pháo cối	() (artillery) mortar.
pháo dã chiến	() field-gun.
pháo dây	() powder-filled paper string.
pháo đài	() fort.
pháo đài	() fortress.
pháo đài	() bastion.
pháo đài	() stronghold.
pháo đài bay	() flying fortress.
pháo đài nhỏ	(dtừ) fortalice.
pháo đại	() cũng nói pháo đùng big fire-cracker.
pháo đập	() squib.
pháo đội	() (quân sự) battery of artillery.
pháo đùng	() như pháo đại.
pháo đùng	() big firecracker.
pháo hạm	() xem chiến hạm.
pháo hiệu	() cũng như pháo lệnh.
pháo hiệu	() flare, star shell, signal fire.
pháo hiệu hoả châu	() flare, lighting flare.
pháo hiệu khi có sương mù	(dtừ) fog-signal.
pháo hoa	() rocket.
pháo hoa	() fireworks.
pháo hoa flicflac	(dtừ) flip-flap.
pháo hoa hộp	(dtừ) jack-in-the-box.
pháo hoa mặt trời	(dtừ) sunburst.
pháo hoa nhỏ khi nổ có tiếng đanh	(dtừ) fire-cracker.
pháo hỏa tinh hình sao	(dtừ) asteroid.
pháo khói	(dtừ) smoke-rocket.
pháo kích	() to shell.
pháo lệnh	() xem pháo hiệu.
pháo lệnh	() signal gun shot.
pháo lớn	(dtừ) granny.
pháo lũy	() fort.
pháo ném	() squib.
pháo nhẹ	(dtừ) galloper.
pháo ống	(dtừ) christmas cracker.
pháo sáng	() xem hoả châu.
pháo sáng đeo dù	(dtừ) parachute flare.
pháo sáng tín hiệu	(thngữ) very light.
pháo tép	() small fire-cracker.
pháo tép	() squib.
pháo tháp	() turret.
pháo thăng thiên	() sky-rocket.
pháo thuyền	() gunboat.
pháo thủ	() gunner.
pháo thủ	() artilleryman.
pháo tiểu cao	(dtừ) falconet.
pháo tự động cực nhanh	(dtừ) pom-pom.
pháo tự hành chống tăng	() tank chaser.
pháo xa	() gun - carriage.
pháo xiết	() friction fire-craker.
pháo xiết	() self-igniting firecracker.
pháo xì	() hissing firecraker.
pháp	() france.
pháp	() french.
pháp	() (phật giáo) dharma.
pháp bảo	() buddhist magic, buddhist miracle.
pháp bảo	() buddhist devotional article.
pháp bảo	() effective means (of solving a problem).
pháp bảo	() talisman, charm, amulet.
pháp cấm	() forbidden by the law.
pháp chế	() legislation.
pháp chế	() laws.
pháp chế	() legal system.
pháp chế xã hội chủ nghĩa	() socialist legal system.
pháp danh	() religious name (of a buddhist monk).
pháp đài	() scaffold.
pháp đàn	() buddhist dais (for preaching...).
pháp đàn	() altar.
pháp điều	() article.
pháp điển	() canon.
pháp điển	() code.
pháp đình	() court of justice.
pháp đình	() lawcourt.
pháp đình	() court.
pháp định	() legal.
pháp định	() statutory.
pháp gia	() legist, jurist.
pháp gian	() french quisling.
pháp hoán vị	(dtừ) permutation.
pháp hóa	() frenchify, gallicize.
pháp học	() legislation.
pháp học	() law studies.
pháp kiều	() frenchmen abroad.
pháp lệ	() precedent.
pháp lệ	() jurisprudence.
pháp lệnh	() decree-law.
pháp lệnh	() ordinance.
pháp lí	(dtừ) law principle, principle of law.
pháp lịnh	(dtừ) law, regulations, ordinances.
pháp luật	() law.
pháp lý	() legal.
pháp môn	() buddhists.
pháp môn	() pagoda, temple.
pháp ngữ	() french, the french language.
pháp nhân	() legal entity.
pháp nhân	() legal person.
pháp quan	() (lịch sử) ephor.
pháp quan	() (cũ) magistrate.
pháp quy	() regulation.
pháp quy	() rule.
pháp quyền	() jurisdiction.
pháp sư	() powwow.
pháp sư	() shaman.
pháp sư	() witch-doctor.
pháp sư	() medicine-man.
pháp sự	() rites.
pháp tăng	() buddhist follower.
pháp thuật	() (cũ) sorcery, witchcraft, magic, shamanism.
pháp thuộc	() french domination.
pháp thủ	() magic performance.
pháp trị	() law.
pháp trị	() rule by law.
pháp trị	() lawfulness.
pháp trị	() legality.
pháp trị	() constitutional.
pháp trường	() execution grounds.
pháp tuyến	() (toán) normal.
pháp văn	() xem pháp ngữ.
pháp viện	() (cũ) tribunal, court.
pháp viện	() law-court, court, court of law/justice.
pháp vị	() (ling) tagmeme.
pháp y	() soutane.
pháp y	() frock.
pháp y	() cassock.
pháp y	() canonicals.
pháp y	() forensic science.
pháp y	() forensic medicine.
pháp y	() medical jurisprudence.
pháp ý	() spirit of the law.
phát	() xem phát súng.
phát	() to distribute.
phát	() to issue.
phát	() to deliver.
phát	() to emit.
phát	() to broadcast.
phát	() to transmit.
phát	() to slap.
phát	() to clap.
phát	() to fell (trees).
phát	() to become.
phát	() to prosper.
phát	() to flourish.
phát	() to thrive.
phát âm	() to articulate.
phát âm	() to pronounce.
phát âm bật hơi	(ngđtừ) aspirate.
phát âm có ngữ điệu	(ngđtừ) intone.
phát âm giống nhau	(dtừ) homophony.
phát âm giống nhau	(ttừ) homophonic.
phát âm học	() phonetics.
phát âm kéo dài	(dtừ) prolongation.
phát âm kéo dài	(ngđtừ) prolong.
phát âm màu mè	(đtừ) overpronounce.
phát âm ở lưỡi	(ttừ) lingual.
phát âm quá cẩn thận	(đtừ) overpronounce.
phát âm rõ	(ngđtừ) form.
phát âm rõ ràng	(đtừ) articulate.
phát âm rõ ràng	(ttừ) articulate.
phát âm sai	() to mispronounce.
phát âm theo giọng mũi	(dtừ) nasalization.
phát âm theo giọng mũi	(đtừ) nasalize.
phát âm tồi	(dtừ) cacology.
phát ân huệ	() finishing stroke.
phát ân huệ	() coup de grâce.
phát ban	() (y học) to break out in the rash.
phát báo	() send morse code.
phát bắn thử	(dtừ) sighting shot.
phát bắn tỉa	(dtừ) snipe.
phát bắn trượt	(dtừ) bos, bos-shot.
phát bằng cú đá bóng đang bật nảy	(ngđtừ) drop-kick.
phát bất thình lình	(ttừ) fulminant.
phát bệnh	() to fall ill/sick.
phát biểu	() to express.
phát biểu	() to formulate.
phát biểu	() to state.
phát biểu	() to express oneself.
phát biểu	() to speak.
phát biểu	() to take the floor.
phát biểu bằng lời nói	(dtừ) verbalism, verbalization.
phát biểu bằng lời nói	(ngđtừ) verbalize.
phát biểu có hệ thống	(dtừ) formulation.
phát biểu có hệ thống	(ngđtừ) formulate.
phát biểu ra	(ttừ) statable.
phát biểu sai	(dtừ) misstatement.
phát biểu sai	(ngđtừ) misstate.
phát biểu ý kiến	() to express one's opinion/view.
phát biểu ý kiến	() to state one's opinion/view.
phát biểu ý kiến	() to speak one's mind.
phát binh	() dispatch troops.
phát bóng	() to serve (a ball).
phát bóng	() (bóng đá) to kick off.
phát bờ	() clear embankments of shrubs.
phát canh	() rent lant.
phát canh	() lease, grant on lease, farm out.
phát cáu	() get angry, get mad.
phát chán	() get tired (of), be fed up (with).
phát chẩn	() (cũ) distribute relief.
phát chẩn	() give alms.
phát chẩn	() dole out.
phát chi phiếu	() draw, make a check.
phát cho	() issue, distribute to.
phát chương trình truyền hình	(dtừ) telecast.
phát cuồng	() to go crazy/mad, to be as mad as a hatter/a march hare, to lose one's senses.
phát cước	(ttừ) frost-bitten.
phát dẫn	() (informal) carry out, take out.
phát dục	() cũng như phát tình.
phát dục	() (sinh lý) develop.
phát đại bác	(dtừ) cannon-shot, gun.
phát đạn bắn cho chết hẳn	(dtừ) quietus.
phát đạn nào trúng đâu là do có số cả	(thngữ) every bullet has its billet.
phát đạt	() to thrive.
phát đạt	() to prosper.
phát đạt	() to flourish.
phát đạt	() to boom.
phát đen đét	(dtừ) flap.
phát đi bằng truyền hình	(ngđtừ) telecast.
phát điên	() to go crazy/mad, to be as mad as a hatter/a march hare, to lose one's senses.
phát điên cuồng lên	(thngữ) as mad as a hatter.
phát điên lên	(ngđtừ) madden.
phát điên lên	(ttừ) maddening.
phát điện	() to generate electricity.
phát điện	() to generate power.
phát đoan	() (cũ) begin.
phát động	() to launch.
phát động	() to mobilize.
phát gấp	() issue at once.
phát ghét	() hateful.
phát giác	(dtừ) reveal, discover, find out, detect, disclose, lay bare&.
phát hành	() to release.
phát hành	() to issue.
phát hành	() to publish.
phát hành lại	(dtừ) reissue.
phát hành lại	(ngđtừ) reissue.
phát hãn	() sweat, perspire.
phát hạch	() swelt (up/out)(with)(of gland).
phát hết các mấu cành gãy	(ngđtừ) snag.
phát hiện	() to discover.
phát hiện	() to uncover.
phát hiện	() to detect.
phát hiện	() discovery.
phát hiện lại	(ngđtừ) rediscover.
phát hiện manh mối	() to discover a clue.
phát hiện ra	(dtừ) detection, identification.
phát hiện ra	(ngđtừ) discover, disentomb, detect, rumble.
phát hiện ra	(ttừ) discoverable, detective, detectable.
phát hiện ra ai/cái gì	(ngđtừ) sus.
phát hiện ra qua dấu vết	(thngữ) to track out.
phát hiện thấy	(ngđtừ) descry.
phát hiện vị trí	(ngđtừ) locate.
phát hiện vị trí	(ttừ) locatable.
phát hoa	() to flower, blossom.
phát hoàn	() reimburse.
phát hoàn	() return.
phát hoàn	() give back.
phát hoàn	() restore.
phát hoàn	() send back.
phát hoàn	() repay.
phát hoàn	() pay back.
phát hoàn	() refund.
phát hỏa	() to catch fire.
phát hỏa	() to inflame.
phát hỏa	() xem khai hoả.
phát huy	() to bring into play.
phát huy	() to uphold.
phát huy cao độ	() develop to a high degree.
phát huy hết	(thngữ) to call forth.
phát huy tinh thần	() display the spirit of.
phát huy truyền thống	() display a tradition.
phát huỳnh quang	(dtừ) fluorescence.
phát huỳnh quang	(nđtừ) fluoresce.
phát khi	() cũng như phát khởi.
phát khi	() begin, start.
phát khiếp	() be terrified, be frightened/startled (with).
phát không	() give free.
phát khởi	() xem phát khi.
phát khùng	() lose one's temper.
phát khùng	() get angry.
phát khùng	() get mad (at).
phát khùng lên	(thngữ) to take (get) a rise out of a somebody.
phát kiến	() to discover.
phát kiến	() discovery.
phát kiến hão huyền	(thngữ) a mare's nest.
phát lãnh	() feverish, feal feverish.
phát lại	() to repeat.
phát lại	() to rerun.
phát lân quang	(nđtừ) phosphoresce.
