ha	() exclamation of joy.
ham đọc sách	(dtừ) bookishness.
ham đọc sách	(ttừ) bookish.
ham khoái lạc	(ttừ) sensual.
ham khoái lạc dâm dục	(dtừ) sensuality.
ham làm giàu	(ttừ) accumulative.
ham mê	() to be very interested in....
ham mê	() to be very fond of....
ham mê nghệ thuật	(dtừ) dilettantism.
ham mê tửu sắc	() infatuated with liquor and sex.
ham muốn	() to desire.
ham muốn	() to covet.
ham muốn không lành mạnh	(dtừ) prurience.
ham muốn không lành mạnh	(ttừ) prurient.
ham muốn mãnh liệt	(dtừ) hunger.
ham muốn nhục dục	(dtừ) carnality.
ham muốn thái quá	(dtừ) prurience.
ham muốn thái quá	(ttừ) prurient.
ham muốn thú trần tục	(dtừ) concupiscence.
ham nhục dục	(dtừ) lust, lustfulness.
ham nhục dục	(ttừ) sensual.
ham sách	(dtừ) bibliophilism.
ham sống sợ chết	() to cling to life and fear death.
ham thích	() to be very interested in....
ham thích	() to be very fond of....
ham thích đồ mỹ nghệ	(dtừ) virtuosity.
ham thích nghệ thuật	(dtừ) dilettantism.
ham viết	(ttừ) scribacious.
han	(dtừ) verdigris.
hang	(dtừ) den.
hang	(dtừ) cave.
hang	(dtừ) hole.
hang	(dtừ) burrow.
hang beo	() dangerous out-of-the-way place.
hang cáo	(dtừ) fox-earth.
hang chồn	() fox hole.
hang chồn	() fox-burrow.
hang chuột	(dtừ) mousehole.
hang có nhiều hài cốt xưa	(dtừ) ossuary.
hang cùng ngõ hẻm	() far-away place(s).
hang cùng ngõ hẻm	() alleys and side streets.
hang đá	(dtừ) cavern, cave, rock cave, stone cave.
hang động	() grotto.
hang động	() cave.
hang giãn phế quản	() bronchoectatic cavern.
hang hầm	() cave.
hang hố	() cave.
hang hốc	() burrows, holes (nói khái quát).
hang hổ	() den, lair of tiger.
hang hổ	() (nghĩa bóng) dangerous place.
hang hùm	() tiger's den.
hang hùm	() (nghĩa bóng) dangerous place.
hang lớn	(dtừ) cavern.
hang ngách	() nook and cranny.
hang ổ	() lair (of animals).
hang ổ	() (b) den (of thieves...).
hang ổ thú rừng	(dtừ) lair.
hang rái cá	(dtừ) holt.
hang sâu	() deep cave.
hang thỏ	() rabbit holes.
hang thú	() den, cave.
hang trú ẩn	(dtừ) glory-hole.
hang vị	() antral section of the stomach.
hanh	(ttừ) hot and dry (weather).
hanh đạt	() prosperous, successful.
hanh hao	() như hanh.
hanh hánh	() (weather) clear slightly.
hanh nắng	() expose to the hot sun, to sun bake.
hanh thái	() prosperous.
hanh thông	(ttừ) easy.
hanh thông	(ttừ) flowing.
hao	() to waste.
hao binh tổn tướng	() lose soldier and officers, sustain casualties.
hao cạn	() used up, be exhausted.
hao của tốn công	() waste one's money and efforts.
hao của tốn công	() a waste of money and efforts.
hao gầy	() worn out.
hao giảm	() diminish, be reduced.
hao hao	() look slightly like.
hao hao	() distant likeness.
hao hao giống	(dtừ) family likeness.
hao hách	() frighten, terrify, startle.
hao hách	() anger.
hao hụt	() undergo some loss, diminish.
hao hụt dọc đường	() loss in transit.
hao hức	() exhausted.
hao lỗ	() lose.
hao mòn	(ttừ) worn out.
hao mòn dần	(dtừ) wasting.
hao mòn dần	(thngữ) to dwindle away.
hao mòn sinh lực	(ngđtừ) devitalise.
hao phí	() waste.
hao tán	() dissipation.
hao tài	() make money dwindle, becostly.
hao tài tổn của	() costly.
hao tiền tốn của	(dtừ) costliness.
hao tiền tốn của	(ttừ) costly.
hao tốn	(ttừ) consumptive.
hao tổn	(đtừ) to waste.
hao tổn	(đtừ) to spend much money.
hau háu	() xem háu (láy).
hau háu như mắt diều	() watch like a hawk.
hay	() or.
hay	() attractive.
hay	() interesting.
hay	() good.
hay	() fine.
hay	() nice.
hay	() well.
hay	() to learn.
hay	() to hear.
hay	() often.
hay	() frequently.
hay	() usually.
hay ăn cắp	(ttừ) thievish.
hay ăn đêm	(thngữ) to fly with the owl.
hay ăn trộm	(ttừ) thievish.
hay báo thù	(dtừ) vindictiveness.
hay báo thù	(ttừ) vindictive, revengeful.
hay bắt bẻ	(đtừ) nibble.
hay bắt bẻ	(ttừ) captious.
hay bắt bẻ cả những chuyện nhỏ nhặt	(ttừ) hypercritical.
hay bắt chước	(dtừ) apishness, imitativeness.
hay bắt chước	(ttừ) imitative, apish.
hay bắt lỗi	(ttừ) captious.
hay bẳn	(ttừ) cursed.
hay bẻ bai	(ttừ) exceptive.
hay bẻ họe	(thngữ) to find quarrel in a straw.
hay bẻ họe	(ttừ) exceptive.
hay bê trễ	(ttừ) slack.
hay biến dạng	(ttừ) proteiform.
hay biến đổi	(dtừ) variableness.
hay biến đổi	(ttừ) changing, varying, variant.
hay biết	() to know.
hay biết	() to have information.
hay bóp nặn	(ttừ) extortionate.
hay bỏ quãng	(phó từ) skippingly.
hay bông đùa	(dtừ) larkiness.
hay bông đùa	(ttừ) larky.
hay bông lơn	(ttừ) facetious.
hay bồn chồn	(ttừ) nervous.
hay bộc lộ	(ttừ) gushy, gushing.
hay bới	(ttừ) fossorial.
hay bới bèo ra bọ	(thngữ) to find quarrel in a straw.
hay buồn nôn	(dtừ) squeamishness.
hay buồn nôn	(ttừ) squeamish.
hay bực bội	(dtừ) fretfulness.
hay bực mình	(dtừ) techiness, tetchiness.
hay bực mình	(ttừ) tetchy.
hay bực tức	(dtừ) pettishness.
hay can thiệp vào chuyện của người khác	(thngữ) to have an oar in every man's boat.
hay can thiệp vào việc người khác	(ttừ) nosey.
hay cau có	(ttừ) bearish.
hay các nỗ lực hướng tới	(dtừ) ecumenicalism.
hay cáu	() irritable.
hay cáu	() irascible.
hay cáu	() short-tempered.
hay cáu bắn	(ttừ) sour.
hay cáu bẳn	(dtừ) ill nature, sourness.
hay cáu bẳn	(ttừ) ill-natured.
hay cáu gắt	(dtừ) tartness.
hay cáu gắt	(ttừ) cross-grained, tart, atrabiliar.
hay cáu kỉnh	(dtừ) fretfulness.
hay cáu kỉnh	(ttừ) testy, currish, hoity-toity.
hay cà khịa	(dtừ) contentiousness.
hay cà khịa	(ttừ) contentious.
hay càu nhàu	(dtừ) peevishness, ill nature, querulousness.
hay càu nhàu	(ttừ) peevish, snarly, gnarled, querulous, grumbly, ill-natured.
hay cãi cọ lặt vặt	(ttừ) pettifogging.
hay cãi lại	(dtừ) contradictiousness, recalcitrance.
hay cãi lại	(ttừ) recalcitrant, contradictory, contradictious.
hay cãi lẽ	(ttừ) argumentative.
hay cãi nhau	(dtừ) quarrelsomeness, contentiousness.
hay cãi nhau	(ttừ) contentious, quarrelsome.
hay cạnh tranh	(ttừ) emulous.
hay cằn nhằn	(ttừ) gnarled, grumbly, snarly.
hay cầu nguyện	(ttừ) prayerful.
hay chảy nước dãi	(dtừ) slobberiness.
hay chảy nước dãi	(ttừ) slobbery.
hay chảy nước mắt	(ttừ) lachrymose.
hay châm biếm	(ttừ) sly.
hay châm chọc	(dtừ) waspishness.
hay chè chén	(thngữ) to crock (lift) one's elbow.
hay chê bai	(ttừ) critical.
hay chế giễu	(ttừ) quizzical.
hay chế nhạo	(ttừ) quizzical.
hay chiều	(ttừ) compliant.
hay chiều đời	(ttừ) plastic.
hay chiều theo	(ttừ) indulgent.
hay chiều ý	(ttừ) complaisant.
hay chiều ý người khác	(dtừ) complaisance.
hay chỉ trích	(ttừ) critical.
hay chỉ trích cay độc	(dtừ) cynicism.
hay chõ mõm	(dtừ) pragmatism.
hay chõ mõm	(ttừ) pragmatic.
hay chọc tức	(ttừ) prickly.
hay chống đối	(ttừ) rebellious.
hay chống lại	(dtừ) recalcitrance.
hay chống lại	(ttừ) recalcitrant.
hay chơi ác	(dtừ) prankishness.
hay chơi ác	(ttừ) prankish.
hay chơi khăm	(dtừ) prankishness.
hay chơi khăm	(ttừ) prankish.
hay chung chạ bừa bãi	(dtừ) promiscuity.
hay chuyện trò	(ttừ) chatty.
hay chú ý đến chi tiết tỉ mỉ	(dtừ) punctiliousness.
hay chữ	((từ nghĩa cũ) learned) scholarly.
hay chữ	((từ nghĩa cũ) learned) well-read.
hay chữ lỏng	() sciolistic.
hay cười	(dtừ) risibility.
hay cười	(ttừ) risible.
hay cười đùa	(dtừ) mirthfulness.
hay cười khúc khích	(ttừ) giggly.
hay cười rúc rích	(ttừ) giggly.
hay cựa quậy	(dtừ) fidgetiness, unquietness.
hay cựa quậy	(ttừ) fidgety, unquiet.
hay dao động	(thngữ) to blow hot and cold.
hay dao động	(ttừ) shaky.
hay dằn dỗi	(dtừ) pettishness, peevishness, petulance.
hay dằn dỗi	(ttừ) peevish, petulant, pettish.
hay dính vào chuyện người	(dtừ) pragmatism.
hay dính vào chuyện người	(ttừ) pragmatic.
hay dính vào chuyện người khác	(ngđtừ) kibitz.
hay dính vào việc của người khác	(ttừ) busy.
hay do dự	(ttừ) unsteady.
hay dò hỏi	(dtừ) inquisitiveness.
hay dò hỏi	(ttừ) inquisitive.
hay dỗi	(dtừ) stuffiness.
hay dỗi	(ttừ) grouchy, stuffy.
hay dở	() good and bad.
hay dở	() good or bad.
hay dùng châm ngôn	(ttừ) gnomic.
hay dùng thứ cổ	(dtừ) obsoletism.
hay dũi	(ttừ) fossorial.
hay đau ốm	(dtừ) unsoundness, valetudinarianism.
hay đau ốm	(ttừ) unsound.
hay đái rắt	(ttừ) leaky.
hay đánh đòn	(ttừ) flagellant.
hay đà đẫn	(nđtừ) dilly-dally.
hay đào	(ttừ) fossorial.
hay đâu	() do not expect.
hay đấy	(thngữ) it's (that's) all very well but....
hay để lộ bí mật	(ttừ) leaky.
hay đi chơi đêm	(dtừ) noctambulism.
hay đi chơi đêm	(ttừ) noctambulant.
hay đi chơi gái	(nđtừ) womanize.
hay đi đây đi đó	(ttừ) locomotive.
hay đi đêm	(thngữ) to fly with the owl.
hay đi lại gặp gỡ	(nđtừ) forgather.
hay đi ra ngoài đề	(dtừ) excursiveness.
hay đi thanh tra	(ttừ) inspective.
hay đòi hỏi	(ttừ) exigent.
hay đòi hỏi quá quắt	(ttừ) exacting.
hay đọc linh tinh	(dtừ) omnivorousness.
hay đổi lòng	(ttừ) unsteady.
hay đùa	(dtừ) playfulness.
hay đùa	(ttừ) playful.
hay đùa ác	(ttừ) sly.
hay đùa cợt	(dtừ) pleasantry.
hay đùa cợt	(ttừ) sportive.
hay đùa giỡn	(ttừ) hoity-toity.
hay đùa nghịch	(dtừ) larkiness.
hay đùa nghịch	(ttừ) larky.
hay đùa nhả	(dtừ) prankishness.
hay đùa nhả	(ttừ) prankish.
hay đứng chầu rìa	(ngđtừ) kibitz.
hay đứng ngoài mách nước	(ngđtừ) kibitz.
hay gắt	(dtừ) biliousness, testiness, ruggedness, bearishness.
hay gắt	(phó từ) biliously.
hay gắt	(ttừ) rugged, bearish, bilious, cursed, testy.
hay gắt gỏng	(dtừ) shrewishness, chippiness, cantankerousness, grumpiness, humoursomeness, snappishness.
hay gắt gỏng	(ttừ) crabby, ill-natured, cantankerous, ratty, criss-cross, humoursome, chippy, crusty.
hay gây gổ	(ttừ) termagant, pugnacious, feisty, factious, vixenish.
hay gây gỗ	(dtừ) contentiousness, cantankerousness, quarrelsomeness, termagancy, bellicosity, pugnacity.
hay gây gỗ	(ttừ) contentious, cantankerous, quarrelsome, bellicose.
hay gây sự	(dtừ) aggressiveness, barratry.
hay gây sự	(ttừ) aggressive.
hay gây sự bất hòa	(ttừ) busy.
hay ghen	(ttừ) jealous.
hay giãi bày tâm sự	(dtừ) demonstrativeness.
hay giãi bày tâm sự	(ttừ) demonstrative.
hay giằn dỗi	(dtừ) huffishness.
hay giằn dỗi	(ttừ) huffish.
hay giấu giếm	(dtừ) secretiveness.
hay giấu giếm	(ttừ) secretive.
hay giận	(dtừ) stuffiness.
hay giận	(ttừ) kittle, warm-blooded, stuffy.
hay giận dỗi	(dtừ) humoursomeness, touchiness, testiness.
hay giận dỗi	(ttừ) humoursome, testy, touchy.
hay giật mình	(ttừ) jumpy.
hay gièm pha	(ttừ) scandalous.
hay giễu cợt	(dtừ) cynicism.
hay giúp đỡ	(ttừ) willing, accommodating.
hay giữ kẽ	(dtừ) secretiveness.
hay giữ kẽ	(ttừ) secretive.
hay gớm	(ttừ) pretty.
hay hay	() xem hay (láy).
hay hài hước	(ttừ) facetious.
hay hiếu sự	(dtừ) officiousness.
hay hiềm thù	(dtừ) unforgivingness.
hay hiềm thù	(ttừ) rancorous, unforgiving.
hay hình thức vụn vặt	(ttừ) punctilious.
hay ho	() (mỉa mai) nice.
hay ho gớm	(ttừ) pretty, jolly.
hay hoang mang sợ hãi	(ttừ) panicky.
hay hoảng sợ	(ttừ) nervous, panicky.
hay hốt hoảng bồn chồn	(ttừ) jumpy.
hay hơn	(ttừ) better.
hay hơn cả	(thngữ) in a class by itself.
hay hớm	() (nghĩa xấu) nice.
hay hớt	() tattle, be a talebearer.
hay hờn	() (of baby) tearful, whining.
hay hờn dỗi	(ttừ) sulky.
hay hờn giận	(dtừ) testiness.
hay hờn giận	(ttừ) testy.
hay hờn mát	(dtừ) petulance.
hay hờn mát	(ttừ) petulant.
hay ỉa chảy	(ttừ) loose.
hay kén cá chọn canh	(ttừ) choosey.
hay kén chọn	(ttừ) select.
hay kêu	(ttừ) loud-mouthed.
hay kêu la	(dtừ) clamourousness.
hay kêu la	(ttừ) blatant, clamorous.
hay khen	(ttừ) laudatory.
hay khoác lác	(dtừ) magniloquence, boastfulness.
hay khoác lác	(ttừ) magniloquent.
hay khoe khoang	(dtừ) magniloquence, boastfulness.
hay khoe khoang	(ttừ) magniloquent.
hay khóc	() cry a lot.
hay khóc lóc	(dtừ) maudlin.
hay khóc lóc	(ttừ) maudlin.
hay khóc lóc sướt mướt	(dtừ) maudlinism.
hay khóc nhè	(ttừ) grizzly.
hay khôi hài	(dtừ) playfulness, pleasantry.
hay khôi hài	(ttừ) facetious, pleasant, playful.
hay không	() is/are....
hay không	() was/were....
hay không	() do/did....
hay không	() does/did....
hay không	() if.
hay không	() whether (or not).
hay không trung thực	(ttừ) fly-by-night.
hay kiện cáo lôi thôi	(dtừ) barratry.
hay la	(ttừ) loud-mouthed.
hay la gào	(ttừ) shrill.
hay la hét	(ttừ) mouthy.
hay la lối	(dtừ) blatancy.
hay la lối	(ttừ) clamant, robustious, blatant.
hay la lối om sòm	(dtừ) obstreperousness, randiness.
hay la lối om sòm	(ttừ) randy.
hay lan truyền	(ttừ) communicative.
hay là	() xem hay 1.
hay là	() how about.
hay làm	() hard-working.
hay làm	() diligent.
hay làm	() industrious.
hay làm	() workaholic.
hay làm ầm	(ttừ) clamant.
hay làm ầm lên	(ttừ) clamorous.
hay làm bực mình	(ttừ) vexatious.
hay làm dáng	(dtừ) coquetry.
hay làm duyên làm dáng	(dtừ) coyness.
hay làm đỏm	(dtừ) coquetry.
hay làm hại	(ttừ) mischievous, maleficent.
hay làm mất lòng	(ttừ) unaccommodating.
hay làm mếch lòng	(ttừ) prickly.
hay làm om sòm	(ttừ) rowdy.
hay làm om xòm	(ttừ) blatant.
hay làm ồn	(ttừ) riotous.
hay làm ồn ào	(ttừ) randy.
hay làm ơn	(ttừ) accommodating.
hay làm phiền phức	(ttừ) vexatious.
hay làm phúc	(phó từ) beneficently.
hay làm phúc	(ttừ) beneficent.
hay làm rối lên	(dtừ) old-womanishness.
hay làm rối lên	(ttừ) old-womanish.
hay làm rối trật tự	(ttừ) rowdy.
hay làm to chuyện	(ttừ) old-womanish.
hay làm việc thiện	(ttừ) beneficent.
hay lảng tránh	(dtừ) elusiveness.
hay lảng tránh	(ttừ) evasive, elusive.
hay lăng xăng	(dtừ) officiousness.
hay lăng xăng quấy rầy	(dtừ) meddlesomeness.
hay lăng xăng quấy rầy	(ttừ) meddlesome.
hay lắm	(thngữ) well done!, good show!, hear! hear!.
hay lắm	(thán từ) bravo.
hay lây	() communicable.
hay lây	() transmissible.
hay lây	() catching.
hay lây	() infectious.
hay lây	() contagious.
hay lẩm bẩm	(ttừ) grumbly.
hay lẩn tránh	(dtừ) evasiveness.
hay lẩn tránh	(ttừ) evasive.
hay lật lọng	(ttừ) double-tongued.
hay lên mặt dạy đời	(dtừ) sententiousness.
hay lên mặt đạo đức	(ttừ) goody-goody.
hay lên mặt ta đây đạo đức	(dtừ) priggishness.
hay lên mặt ta đây hay chữ	(dtừ) priggishness.
hay lo	() to be a very anxious person.
hay lo	() to be a terrible worrier.
hay lo lắng	(ttừ) nervous.
hay lồng	(dtừ) skittishness.
hay lồng	(ttừ) skittish.
hay lui tới	(dtừ) frequentation.
hay lui tới	(ngđtừ) haunt.
hay lui tới	(nđtừ) frequent.
hay lui tới hành lang nghị viện	(đtừ) lobby.
hay luồn cúi	(dtừ) suppleness.
hay lý luận cố chấp	(ttừ) doctrinaire.
hay lý sự	(dtừ) disputatiousness.
hay lý sự	(ttừ) disputatious.
hay lý sự cùn	(dtừ) quibbling.
hay lý sự cùn	(ttừ) contradictious, contradictory.
hay lý sự vụn	(đtừ) nibble.
hay mập mờ nước đôi	(ttừ) jesuitical.
hay mè nheo	(ttừ) nagging, naggish.
hay mơ mộng	(ttừ) moonshiny.
hay mơ tưởng hão	(ttừ) notional.
hay mưa	() rainy.
hay mưu đồ	(ttừ) jesuitical.
hay nài nỉ	(ttừ) clamant.
hay nạt nộ	(dtừ) tigerism.
hay ngất	(ttừ) faint.
hay ngẫm nghĩ	(dtừ) meditativeness, cogitativeness.
hay ngẫm nghĩ	(ttừ) ruminative, meditative.
hay nghi ngờ	(dtừ) suspiciousness.
hay nghi ngờ	(ttừ) distrustful, suspicious.
hay nghĩ đến việc báo thù	(ttừ) vengeful.
hay nghịch	(dtừ) playfulness.
hay nghịch	(ttừ) playful.
hay ngờ vực	(ttừ) suspicious, distrustful.
hay ngủ bậy	(dtừ) promiscuity.
hay ngủ bậy	(ttừ) promiscuous.
hay nhảy	(ttừ) salient.
hay nhảy từ vấn đề nọ sang vấn đề kia	(phó từ) skippingly.
hay nhại	(ttừ) apish.
hay nhạo báng	(dtừ) cynicism.
hay nhắng nhít	(ttừ) fussy.
hay nhặng xị	(ttừ) fussy.
hay nhân nhượng	(dtừ) pliability.
hay nhân nhượng	(ttừ) yielding, pliable, pliant.
hay nhất	(ttừ) best.
hay nheo nhéo quấy rầy	(ttừ) shrill.
hay nhỉ	() strangely enough, how odd.
hay nhúng vào mọi việc	(ttừ) pantopragmatic.
hay nói	() long-winded, wordy.
hay nói	() talkative, eloquent.
hay nói bậy bạ	(ttừ) blithering.
hay nói cho đúng	(thngữ) or rather.
hay nói dối	(ttừ) double-tongued.
hay nói hay la	(ttừ) vocal.
hay nói mê	(ttừ) somniloquous.
hay nói ngược lại	(dtừ) contradictiousness.
hay nói ngược lại	(ttừ) contradictious.
hay nói nhiều	(thngữ) to have a long tongue.
hay nói ra ngoài đề	(ttừ) excursive.
hay nói thì chẳng hay làm	() great talkers are little doers.
hay nói trái lại	(dtừ) contradictiousness.
hay nói trái lại	(ttừ) contradictious.
hay nói xấu sau lưng	(ttừ) scandalous.
hay nô đùa	(dtừ) frolicsomeness, friskiness.
hay nô đùa	(ttừ) frolicky, frisky, frolic.
hay nôn nóng	(ttừ) hoity-toity.
hay nổi nóng	(ttừ) rambunctious, grouty, gingery.
hay nội quan	(dtừ) introspectiveness.
hay nội quan	(ttừ) introspective.
hay nuông chiều	(ttừ) indulgent.
hay om sòm	(dtừ) fussiness.
hay om sòm	(ttừ) fussy.
hay ốm	() prone to sickness.
hay ốm	() sickly.
hay ồn ào	(dtừ) randiness.
hay ở	(nđtừ) frequent.
hay ở nhà	(ttừ) stay-at-home.
hay pha trò	(dtừ) pleasantry.
hay pha trò	(ttừ) pleasant.
hay phát khùng	(dtừ) huffishness, fractiousness.
hay phát khùng	(ttừ) fractious.
hay phản đối	(ttừ) exceptive.
hay phản đối om sòm	(dtừ) obstreperousness.
hay phung phí	(dtừ) extravagance.
hay quan sát	(ttừ) observing, observant.
hay quan tâm đến	(ttừ) regardful.
hay quan tâm tới người khác	(dtừ) considerateness.
hay quan tâm tới người khác	(ttừ) considerate.
hay quan trọng hóa	(ttừ) fussy.
hay quá nhỉ	(thngữ) wonders will never cease.
hay quàu quạu	(ttừ) rugged.
hay quấy	() irascible, irritable.
hay quấy phá ầm ĩ	(dtừ) riotousness.
hay quấy phá ầm ĩ	(ttừ) riotous.
hay quấy rầy	(dtừ) ungodliness.
hay quấy rầy	(ttừ) ungodly.
hay quấy rối	(ttừ) obstreperous.
hay quên	() forgetful.
hay ra vẻ đoan trang	(dtừ) primness.
hay ra vẻ đứng đắn	(dtừ) primness.
hay ra vẻ nghiêm nghị	(dtừ) primness.
hay ra vẻ tiết hạnh	(dtừ) primness.
hay răn dạy	(dtừ) moralism.
hay rầy la	(ttừ) nagging.
hay réo	(ttừ) shrill.
hay rên rỉ	(ttừ) whining.
hay rối rít	(dtừ) fussiness.
hay rối rít	(ttừ) fussy.
hay rượu	(nđtừ) sot.
hay sao	() isn't it?.
hay sao lãng	(ttừ) slack.
hay sinh sự	(dtừ) barratry, quarrelsomeness, contentiousness.
hay sinh sự	(ttừ) contentious, quarrelsome.
hay sốt ruột	(dtừ) tetchiness, impatience, techiness.
hay sốt ruột	(ttừ) tetchy, impatient.
hay sợ bóng	(dtừ) skittishness.
hay suy nghĩ	(dtừ) cogitativeness.
hay suy nghĩ	(ttừ) ruminative, ruminant.
hay sục sạo	(ttừ) nosey.
hay tán dương	(ttừ) laudatory.
hay tán gái	(ttừ) sparkish, wooing.
hay tán tỉnh	(ttừ) flirtish.
hay tha thứ	(ttừ) tolerant.
hay than phiền	(dtừ) querulousness.
hay than phiền	(ttừ) querulous.
hay than van	(ttừ) whining.
hay thay đổi	(dtừ) whimsicality, unevenness, variableness, freak, vagary, freakishness, crankiness, incalculableness, changeability, inconstancy, lubricity, mobility, waywardness, flightiness, humoursomeness, inequality, volatility, mutability, fickleness, versatility, mercuriality.
hay thay đổi	(ttừ) versatile, incalculable, liquid, chameleonic, fickle, unsteady, mercurial, vagarious, volatile, arbitrary, variant, lubricous, uncertain, fitful, varying, wayward, fluid, fluky, whimsical, humoursome, moonish, variable, freakish, protean, inconstant, mobile, flighty, unstable, changeable, unsettled, uneven, mutable, changing, fizgig, cranky, temperamental.
hay thay đổi hình dạng	(ttừ) proteiform.
hay thay đổi ý kiến	(thngữ) to blow hot and cold.
hay thẹn	() shy, bashful.
hay thoái thác	(dtừ) evasiveness.
hay thổ lộ	(ttừ) gushing, gushy.
hay thổ lộ tâm sự	(ttừ) communicative.
hay thổ lộ tâm tình	(dtừ) demonstrativeness.
hay thổ lộ tâm tình	(ttừ) demonstrative.
hay thú vị	(ttừ) slick.
hay thù hằn	(dtừ) revengefulness.
hay thù hằn	(ttừ) revengeful.
hay thù oán	(ttừ) rancorous.
hay thương người	(dtừ) beneficence.
hay thương xót	(ttừ) merciful.
hay tin	() to hear the news.
hay tin	() to learn.
hay tin cậy	(ttừ) trustful.
hay tin người	() xem dễ tin người.
hay tín nhiệm	(ttừ) trustful.
hay tranh chấp	(dtừ) litigiousness.
hay tranh chấp	(ttừ) litigious.
hay trầm ngâm	(ttừ) ruminative.
hay trêu chọc	(ttừ) quizzical.
hay trốn học	(ttừ) truant.
hay trốn việc	(ttừ) truant.
hay trộm cắp	(dtừ) thievishness.
hay trục trặc	(dtừ) prankishness.
hay trục trặc	(ttừ) prankish.
hay tuyệt	() excellent.
hay tuyệt	() exquisite.
hay tuyệt	() superb.
hay tư lự	(ttừ) ruminative.
hay tưởng tượng	(dtừ) imaginativeness.
hay tưởng tượng	(ttừ) imaginative, moonshiny.
hay tức	(ttừ) pettish.
hay tự xem xét nội tâm	(dtừ) introspectiveness.
hay tự xem xét nội tâm	(ttừ) introspective.
hay uống rượu	(ttừ) tippling.
hay ưỡn ngực làm bộ	(dtừ) chestiness.
hay ưỡn ngực làm bộ	(phó từ) chestily.
hay ưỡn ngực làm bộ	(ttừ) chesty.
