i	(dtừ) iota.
in lụa	() to silk-screen.
in lụa	() to screen-print.
in máy	() typography.
in màu	() colour printing.
in mạ	(ngđtừ) electrotype.
in ngần	() imprint.
in nghiêng	() to print in italic type.
in nghiêng	() to print in italics.
in nghiêng	() to italicize.
in nguyên cáo	(dtừ) autography.
in nháp	() xem in thử.
in nhuộm	() printing and dyeing.
in như	() as if, seeming.
in nổi	() relief printing.
in ôpxet	(dtừ) offset, offset printing.
in ôpxet	(ngđtừ) offset.
in ốp xét	() offset.
in quá nhiều bản của	(đtừ) overrun.
in rô-nê-ô	(ngđtừ) roneo.
in rô nê ô	() roneo.
in rônêô	(ngđtừ) cyclostyle.
in sâu	(dtừ) inculcation, engraving.
in sâu	(ngđtừ) implant, inculcate, engrave, infix.
in sâu	(ttừ) inculcative.
in tai nhức óc	(dtừ) shrillness.
in tay	() make finger-prints.
in thành bốn tấm	(dtừ) quadruplication.
in thạch bản	() (từ nghĩa cũ) như in lito.
in theo bản khắc nạo	(ngđtừ) mezzotint.
in thêm bản của	(đtừ) overrun.
in thêm riêng	(ngđtừ) off-print.
in thừa	(dtừ) overprint.
in thử	() to make a trial impression of....
in thử	() to print in draft quality.
in thử	() to proof.
in tranh ảnh	(ngđtừ) illustrate.
in tranh đầu sách vào	(ngđtừ) frontispiece.
in typô	() typography.
in vào	(ngđtừ) stamp.
in vào hối phiếu	(dtừ) enfacement.
in vào hối phiếu	(ngđtừ) enface.
in vào trang ở giữa	(ngđtừ) interpage.
in xen vào	(ngđtừ) interline.
in xen vào hàng chữ đã có	(dtừ) interlineation.
in xen vào hàng chữ đã có	(ttừ) interlineal.
in ximili	(ngđtừ) process.
inh	() strident.
inh	() như hoắc.
inh cả nhà	() very noisy.
inh giời	() shake the heavens.
inh giời	() loud noise.
inh ích	() too full, over-eaten (no inh ích).
inh lên	(phó từ) aloud.
inh ỏi	(ttừ) noisy.
inh ỏi	(ttừ) loud.
inh ỏi	(ttừ) tumultuous.
inh tai	(ttừ) deafening.
inôc	() stainless steel.
insơ	(dtừ) inch.
ion hóa	(dtừ) ionization.
iriđi	(dtừ) iridium.
isulin	(dtừ) insulin.
í a í ới	() xem í ới.
í ới	() call each other (one another) noisily.
í ới	() í a í ới (láy, ý tăng).
ích	() (có ích) useful.
ích chung	() public benefit.
ích dụng	() (ít dùng) useful.
ích gì	() no use.
ích hữu	() useful friend.
ích kỷ	() xem vị kỷ.
ích lợi	(dtừ) usefulness, henefit.
ích mẫu	() motherwort (thực vật).
ích quốc lợi dân	() beneficial to one's country and people.
ích trùng	() useful insect.
ính	() be bulkily big (with child)(dùng với ý chế giễu).
ít	() little.
ít	() few.
ít ... nhất	() least.
ít ... nhất	() fewest.
ít ai biết đến	(ttừ) little-known.
ít ai lui tới	(ttừ) unfrequented.
ít biết	() little known.
ít biết	() unpopular.
ít bị tình cảm lung lạc	(ttừ) hard-headed.
ít bổ ích	(ttừ) unbeneficial.
ít bữa	() a few days.
ít có	() rare.
ít có	() scarce.
ít có chuyện xảy ra	(ttừ) incidentless.
ít dân	() sparsely populated.
ít dân	() underpopulated.
ít dùng	(ttừ) unusual.
ít đi chỗ khác	(ttừ) sedentary.
ít đi đây đi đó	(ttừ) untravelled.
ít đi lại	(dtừ) sedentariness.
ít giá trị	(ttừ) low-grade, cheap.
ít hấp dẫn	(ttừ) unattractive.
ít học	() unlearned.
ít hôm	() a few days.
ít hơn	() less.
ít hơn	() fewer.
ít hơn	() less than.
ít hơn	() xem ít người hơn.
ít hơn cả	(thngữ) least of all.
ít khi	() seldom.
ít khi	() rarely.
ít kinh nghiệm	(ttừ) fresh, callow, freshwater.
ít lâu	() for a little while.
ít lâu nay	() lately.
ít lâu sau	() xem chẳng bao lâu sau.
ít lời	() xem ít nói.
ít lưu ý	(ttừ) unregardful.
ít người biết đến	(dtừ) obscurity.
ít người biết đến	(ttừ) obscure.
ít người biết tới	(ttừ) freshwater.
ít người hơn	() to be inferior in number.
ít người hơn	() to be fewer in number.
ít người mua	(ttừ) easy.
ít người qua lại	(ttừ) unfrequented, retired.
ít người ưa	(ttừ) uncompanionable.
ít nhất	() at least.
ít nhất là một lần	(thngữ) for once.
ít nhiều	() more or less.
ít nhiều ở nước	(ttừ) subaquatic.
ít nhứt	() xem ít nhất.
ít nói	() of few words.
ít nói	() reticent.
ít nói	() silent.
ít nói	() taciturn.
ít nói	() uncommunicative.
ít nữa	() xem ít nhất.
ít oi	() xem ít ỏi.
ít ỏi	() very little.
ít phê bình	(ttừ) uncritical.
ít phô trương	(dtừ) unobstrusiveness.
ít phô trương	(ttừ) unobstrusive.
ít quan tâm	(ttừ) unregardful.
ít quá	() too little.
ít quá	() too few.
ít quả	(ttừ) oligocarpous.
ít ra	() at least.
ít ra	() at least.
ít ra cũng	(phó từ) leastways.
ít thâm niên hơn	(ttừ) junior.
ít thấy	() rare.
ít thấy	() uncommon.
ít thấy	() unusual.
ít thích thú	(ttừ) uncongenial.
ít thôi	() just a little.
ít tuổi	() still young.
ít tuổi hơn	(ttừ) junior.
ít xảy ra	(dtừ) infrequence, unwontedness.
ít xảy ra	(ttừ) unfrequent, infrequent.
ít xịt	() very little.
ì	(đtừ) to be inert.
ì	(đtừ) to sluggish.
ì à ì ạch	() xem ì ạch (láy).
ì ạch	(phó từ) ploddingly.
ì ạch kéo lết đi	(ttừ) lumbering.
ì ầm	() rumble.
ì oạp	() lap.
ì ọp	(nđtừ) squelch.
ìn ịt	() xem ịt (láy).
ình	(đtừ) to swell.
ình bụng	() swell, bulge.
ình bụng	() (thông tục) be big with child.
ình ịch	() xem ịch (láy).
ình oàng	() grumble (of thunder,cannon).
ỉ eo	() complan.
ỉ eo	() nag.
ỉa	() to void feces from the bowels.
ỉa	() to move one's bowels.
ỉa	() to go to stool.
ỉa	() to relieve oneself.
ỉa	() to stool.
ỉa	() to shit.
ỉa	() to defecate.
ỉa	() to do number two.
ỉa bậy	() to make a mess.
ỉa chảy	() to have diarrhoea.
ỉa chảy	() to get the trots.
ỉa chảy	() to have loose bowels.
ỉa đái	() to defecate and urinate.
ỉa đồng	() to defecate in the open.
ỉa đùn	() to be incontinent.
ỉa ra	(ngđtừ) defecate.
ỉa són	() to be incontinent.
ỉa tháo	() xem ỉa chảy.
ỉa vào	() (thông tục) not to care a damn about.
ỉa vãi	() to shit oneself.
ỉa vãi	() to dirty one's pants.
ỉm	(đtừ) to hush up.
ỉm	(đtừ) to bruke.
ỉm đi	(dtừ) black-out, suppression.
ỉm đi	(ngđtừ) burke, hugger-mugger, suppress.
ỉm đi	(thngữ) to black out, conspiracy of silence.
ỉm đi	(ttừ) black-out.
ỉu	(ttừ) doughy.
ỉu	(ttừ) soggy.
ỉu ỉu	() slightly humid.
ỉu xìu	() (ỉu xìu xìu) very soft.
ỉu xìu	() very humid.
ỉu xìu	() gloomy, sad, blue, depressed.
ỉu xìu	() be down in the mouth.
ỉu xịu	() như ỉu.
ĩnh	() swell out, puff up.
ĩnh bụng	() pregnant.
ĩnh bụng	() a pot belly.
ĩnh ương	() bullfrog.
ị	(dtừ) (lóng) to go to stool.
ịch	() thud.
ịch	() ình ịch (láy, ý liên tiếp) chug.
ịt	() grunt, oink (mỹ).
ịt	() ìn ịt (láy, ý liên tiếp).
