ka ki	() khaki.
kéo lê trên mặt đất	(đtừ) harl.
kéo lê trong bùn	(đtừ) daggle.
kéo lê trong bùn	(ngđtừ) drabble.
kéo lê trong bùn	(nđtừ) drabble.
kéo lên	(dtừ) pull up.
kéo lên bằng ròng rọc	(ngđtừ) purchase.
kéo lên và mở tung ra	(thngữ) to break out.
kéo lết ì ạch	(nđtừ) lumber.
kéo lớn	() apair of shears.
kéo lui	(dtừ) withdraw, retire, retreat.
kéo lùi	(dtừ) pull-back.
kéo lùi	(thngữ) to draw back.
kéo lưới	(đtừ) to draw up a net.
kéo màn	() to draw the curtains.
kéo mạnh	(dtừ) haul, twitch, lug, tug, yank.
kéo mạnh	(đtừ) yank.
kéo mạnh	(ngđtừ) twitch, tug, hitch, tear, rouse.
kéo mạnh	(nđtừ) tug.
kéo mạnh	(thngữ) to tear at.
kéo mạnh bất ngờ	(dtừ) hitch.
kéo mạnh lên	(ngđtừ) hitch.
kéo mây đen	(nđtừ) overcloud.
kéo neo	() weigh anchor.
kéo nhau	(dtừ) flock, come in crowds.
kéo qua đầu	(thngữ) to pull over.
kéo quá căng	(ngđtừ) overstretch.
kéo ra	(ngđtừ) unnest, protrude.
kéo ra	(thngữ) to draw off, to pull out, to get out, to flick out.
kéo ra dễ dàng	(thngữ) to slip out.
kéo ra một chỗ	(thngữ) to take aside.
kéo ra trước	(dtừ) protraction.
kéo răng cưa	() pinking shears.
kéo sang một bên	(thngữ) to call aside.
kéo sợi	(dtừ) filature, wiredrawing.
kéo sụp xuống	(thngữ) to pull over.
kéo tàu	(dtừ) trackage.
kéo thành sợi	(ngđtừ) wiredraw.
kéo thẳng	(ngđtừ) unbend.
kéo theo	() bring about.
kéo thò ra	(ttừ) protrusile.
kéo thuyền	() pull a boat.
kéo thuyền bằng dây chão	(ngđtừ) kedge.
kéo tỉa	(dtừ) trimmer.
kéo tỉa cành cao su	(dtừ) averruncator.
kéo tỉa cây	(dtừ) secateurs, pruning-hook.
kéo tỉa hàng rào	() shears.
kéo tỉa ngọn cây	(đtừ) topper.
kéo tỉa nho	(dtừ) grape-scissors.
kéo tơ	() reel silk.
kéo tới	(ngđtừ) dodge.
kéo trứng chim	(dtừ) dragôe.
kéo ùa	() flock.
kéo ùa	() particle.
kéo vào	(thngữ) to pull in, to draw in.
kéo vào quá đông	(ngđtừ) overcrowd.
kéo vây kéo cánh	() form a gang, gang up.
kéo về	(thngữ) to pull in.
kéo xe	(nđtừ) trek.
kéo xén	(dtừ) clipper.
kéo xén lông cừu	(dtừ) sheep-shearer.
kéo xén viền	(dtừ) edging-shears.
kéo xuống	(dtừ) pull down.
kép	(dtừ) (cũ) actor, singsong girl's accompanist.
kép đôi	(ttừ) duplex.
kép hát	(dtừ) actor, dramatic actor.
kép phụ	(dtừ) supernumerary, super.
két	() xem dạy kèm.
két	() xem kèm theo.
két	(dtừ) screech, gnashing (grinding) sound.
két bạc	() safe, money box.
két có khóa	(dtừ) locker.
két nước	() (auto) radiator.
két sắt	() strongbox.
két sắt	() safe.
két tiền	(dtừ) exchequer.
kè	() địa phương.
kè	() fan-palm.
kè	() stone embankment.
kè đá	() stone jetty.
kè đá	() sea walls.
kè kè	() carry always.
kè ngăn sông	() breakwater.
kè nhè	() have a drunken drawl (in one's voice).
kè nhè	() pester, plague.
kèm	(đtừ) to escort.
kèm	(đtừ) to accompany.
kèm cặp	() to coach.
kèm cặp	() to tutor.
kèm nhèm	() xem nhèm.
kèm theo	() to attach.
kèm theo	() to enclose.
kèm theo	() to accompany.
kèm theo đây	(phó từ) herewith.
kèn	(dtừ) horn.
kèn	(dtừ) bugle.
kèn	(dtừ) trumplet.
kèn	(dtừ) clarion.
kèn acmônica	(dtừ) harmonica, mouth-organ.
kèn antô	(dtừ) alto.
kèn baritôn	(dtừ) baritone.
kèn bát	(dtừ) bass.
kèn clarinet	(dtừ) licorice stick.
kèn co	(dtừ) horn.
kèn co	(thngữ) french horn.
kèn coócnê	(dtừ) cornet.
kèn cổ	(dtừ) shawm.
kèn cựa	() envy (someone) from the smallest thing.
kèn đưa đám	(thngữ) last post.
kèn fagôt	(dtừ) bassoon.
kèn hát	() (tiếng địa phương.
kèn hát	() như máy hát gramophone.
kèn hiệu	() clarion.
kèn kẹt	() xem kẹt (láy).
kèn lá	() kèn lá (leaf-horn) is an original wind instrument of some ethnic inorities the player plucks a leaf, rounds it with the mouth and blows it like a clarinet the sounds are regulated by breath, tongue and mouth.
kèn lệnh	() fanfare.
kèn ocarina	(dtừ) ocarina.
kèn ôboa	(dtừ) oboe.
kèn sáo bằng gỗ	(dtừ) wood, wood-wind.
kèn têno	(dtừ) tenor.
kèn trompet	(dtừ) trump, trumpet.
kèn trống	() clarinet and drum (used in a funeral procession).
kèn trống	() ancient musical instruments (nói khái quát).
kèn tuba	(dtừ) tuba.
kèn tuba lớn	(dtừ) helicon.
kèn túi	() bagpipe.
kèo	(dtừ) horn.
kèo cò	() (cũng nói kèo nèo) importune.
kèo dù	() umbrella ribs.
kèo kẹo	() plaguy.
kèo nài	() insist.
kèo nèo	() như kèo cò.
kèo nhèo	() beg (for).
kèo rót	() pour.
kèo rượu	() drink a toast.
kẻ̉lang thang	() tramp.
kẻ̉lang thang	() homeless.
kẻ̉lang thang	() vagrant.
kẻ̉lang thang	() wanderer.
kẻ̉lang thang	() roamer.
kẻ	() to line.
kẻ	() to draw.
kẻ	() to outline.
kẻ	() person.
kẻ	() individual.
kẻ a tòng	(dtừ) accessory.
kẻ ác tà	(dtừ) mephistopheles.
kẻ ám sát	() assassin.
kẻ áp bức	(dtừ) oppressor.
kẻ ăn bám	(dtừ) cadger, dead-beat, parasite, bum, toad-eater.
kẻ ăn cắp	(dtừ) swiper, scrounger, larcener.
kẻ ăn cắp văn	(dtừ) cribber, plagiarist.
kẻ ăn cắp vặt	(dtừ) pilferer.
kẻ ăn cắp ý	(dtừ) plagiarist.
kẻ ăn chực	(dtừ) cadger.
kẻ ăn đút lót	(dtừ) bribee.
kẻ ăn gian	(dtừ) defrauder.
kẻ ăn hiếp	(dtừ) hector.
kẻ ăn hối lộ	(dtừ) bribee, grafter.
kẻ ăn mày	(dtừ) cadger, panhandler.
kẻ ăn người làm	() (domestic) servants.
kẻ ăn người làm	() như kẻ ăn người ở.
kẻ ăn người ở	() như kẻ ăn người làm.
kẻ ăn sương	(dtừ) night-bird, night-walker.
kẻ ăn trộm	(dtừ) night-hawk.
kẻ ăn trộm súc vật	(dtừ) cattle-lifter.
kẻ ăn tục	(dtừ) guzzler.
kẻ ăn xin	(dtừ) scrounger, cadger, panhandler.
kẻ âm mưu	(dtừ) machinator, schemer, plotter.
kẻ bám đít	(dtừ) hanger-on.
kẻ báng bổ	(dtừ) desecrator.
kẻ báo điềm gỡ	(dtừ) croaker.
kẻ bày mưu	(dtừ) plotter.
kẻ bày mưu lập kế	(dtừ) machinator.
kẻ bạo ngược	(dtừ) despot.
kẻ bắt cóc	() kidnapper.
kẻ bắt nạt	(dtừ) hector.
kẻ bằng bút chì	(ngđtừ) pencil.
kẻ bằng mũi nhọn	(ngđtừ) scribe.
kẻ bất lương	() malefactor.
kẻ bất lương	() rascal.
kẻ bất lương	() rapscallion.
kẻ bất lương	() evildoer.
kẻ bất lương	() wrongdoer.
kẻ bất tài mà hay lòe bịp	(dtừ) charlatan.
kẻ bất tài nhưng làm bộ giỏi giang	(dtừ) quack.
kẻ bi quan	(dtừ) pessimist.
kẻ biển lận	(dtừ) muckworm.
kẻ biển thủ	(dtừ) peculator.
kẻ bị giật dây	(dtừ) puppet.
kẻ bị mua chuộc	(dtừ) bribee.
kẻ bịp	(dtừ) finagler, duper, spoofer, bamboozler.
kẻ bịp bợm	(dtừ) trickster, kite, thimblerigger, tricker.
kẻ bịp bợm	(thngữ) chevalier d'industrie.
kẻ bịp bợm	(thngữ) chevalier of industry.
kẻ bo bo giữ tiền	(dtừ) money-grubber.
kẻ bóc lột	(dtừ) blood-sucker, despoiler, bleeder, vampire, leech.
kẻ bóc lột công nhân	(dtừ) sweater.
kẻ bòn rút	(dtừ) bleeder.
kẻ bỏ̉đảng	(dtừ) defector.
kẻ bỏ đảng trong lúc khó khăn	(dtừ) rat.
kẻ bỏ đạo	(dtừ) defector.
kẻ bỏ đi theo địch	(dtừ) defector.
kẻ bỏ rơi người yêu	(dtừ) jilt.
kẻ bỏ trốn	(dtừ) deserter.
kẻ bôi nhọ	(dtừ) denigrator.
kẻ bôi xấu	(dtừ) denigrator.
kẻ bội giáo	(dtừ) defector.
kẻ bợ đỡ	(đtừ) toad-eater, reptile, bootlicker, adulator, pickthank, apple-polisher.
kẻ bủn xỉn	(dtừ) muckworm.
kẻ ca rô	(ngđtừ) chequer.
kẻ ca rô	(ttừ) checked, checquered.
kẻ cai trị bằng thần quyền	(dtừ) theocrat.
kẻ càn rỡ	(dtừ) jackanapes.
kẻ cả	() avuncular.
kẻ cả	() upstage.
kẻ cả	() uppish.
kẻ cả	() bossy.
kẻ cả	() patronizing.
kẻ cắp	(dtừ) thief.
kẻ cắp	(dtừ) pilferer.
kẻ cắp bà già gặp nhau	(thngữ) when greek meets greek, then comes the tug of war, diamond cut diamond.
kẻ cắp gặp bà già	() xem vỏ quýt dày, móng tay nhọn.
kẻ cắp giả làm khách mua hàng	(dtừ) shop-lifter.
kẻ cắp vặt	(dtừ) snitch, sneak-thief.
kẻ chê bai	(dtừ) denigrator.
kẻ chết không một nấm mồ	(dtừ) graveless.
kẻ chết vì đạo	(dtừ) martyr.
kẻ chết vì nghĩa	(dtừ) martyr.
kẻ chiếm đoạt	(dtừ) despoiler.
kẻ chiếm đóng	(dtừ) occupant.
kẻ chiến bại	() defeated man/woman.
kẻ chiến thắng	() victor.
kẻ chiến thắng	() winner.
kẻ chinh phục	(dtừ) subjugator.
kẻ chỉ điểm	(dtừ) snitch.
kẻ chỉ thích làm giàu	(dtừ) grabber.
kẻ chịu đọa đày	(dtừ) martyr.
kẻ cho thuyết người là thú	(dtừ) animalist.
kẻ cho vay cắt cổ	(dtừ) loan-shark.
kẻ cho vay lãi	(dtừ) money-lender.
kẻ cho vay nặng lãi	(dtừ) shylock.
kẻ chống giê-xu	(dtừ) antichrist.
kẻ chống lại âm mưu	(dtừ) countermine, counterplot.
kẻ chơi bời phóng đãng	(dtừ) rakehell, rake.
kẻ chơi rong	(dtừ) loafer.
kẻ chợ	() capital, urban area.
kẻ chuyên quyền	(dtừ) despot.
kẻ có tội	(dtừ) culprit.
kẻ côn đồ	(dtừ) high-binder.
kẻ công kích	(dtừ) aggressor.
kẻ cố ý gây nên hỏa hoạn	(dtừ) arsonist.
kẻ cộng tác với địch	(dtừ) collaborationist.
kẻ cơ hội	(dtừ) time-server.
kẻ cờ bạc bịp	(dtừ) blackleg.
kẻ cờ gian bạc lận	(dtừ) card-sharper.
kẻ cướp	() robber.
kẻ cướp	() brigand.
kẻ cướp	() bandit.
kẻ cướp biển	(dtừ) pirate.
kẻ cướp biển	(ttừ) piratic.
kẻ cướp bóc	(dtừ) sacker, looter, harrier, pillager, depredator.
kẻ cướp có súng	(dtừ) gunman.
kẻ cướp đất	(dtừ) land-grabber.
kẻ cướp đoạt	(dtừ) despoiler.
kẻ cướp đường	(dtừ) ladrone, highwayman, holdup man.
kẻ cướp đường	(thngữ) road agent.
kẻ cướp đường đi bộ	(dtừ) footpad.
kẻ cướp giật	(dtừ) ravisher, swiper, sacker.
kẻ cướp nước	(dtừ) land-grabber.
kẻ cướp phá	(dtừ) looter, pillager.
kẻ cướp vùng biên giới anh ê-cốt	(dtừ) mosstrooper.
kẻ cưỡng dâm	(dtừ) assaulter.
kẻ cưỡng đoạt	(dtừ) plunderer, ravisher.
kẻ cực kỳ phản động	(dtừ) die-hard.
kẻ dã man	(dtừ) hun.
kẻ dắt gái	(dtừ) pander.
kẻ dâm đãng	(dtừ) lecher.
kẻ dâng cho tà ma quỷ dữ	(dtừ) desecrator.
kẻ diều hâu	(dtừ) hawk.
kẻ dọa dẫm	(dtừ) intimidator.
kẻ du đãng	(dtừ) rouô.
kẻ dương dương tự đắc	(dtừ) popinjay.
kẻ dưới	() xem thuộc cấp.
kẻ dự mưu giết vua	(dtừ) regicide.
kẻ đáng chém	(dtừ) gallows-bird.
kẻ đáng khinh	(dtừ) twerp, twirp, cattle, fink, heel, cad.
kẻ đáng khinh	(thngữ) son of a gun.
kẻ đáng treo cổ	(dtừ) gallows-bird.
kẻ đánh cắp lén	(dtừ) sneak-thief.
kẻ đánh lừa	(dtừ) spoofer.
kẻ đàn áp	(dtừ) oppressor, represser.
kẻ đào ngũ	(dtừ) defector, deserter.
kẻ đại bợm	(dtừ) adventurer.
kẻ đạo đức giả	(dtừ) hypocrite, whited sepulchre.
kẻ đâm bị thóc chọc bị gạo	(dtừ) fire-brand.
kẻ đâm thuê chém mướn	(dtừ) bully-boy, goon.
kẻ đầu cơ	(dtừ) gambler, plunger, boomster, jobber.
kẻ đầu cơ chính trị	(dtừ) high-binder.
kẻ đầu cơ trục lợi	(dtừ) profiteer.
kẻ đầu cơ vé rạp hát	(dtừ) scalper.
kẻ đầu cơ vé xe lửa	(dtừ) scalper.
kẻ đầu độc	(dtừ) poisoner.
kẻ đe dọa	(dtừ) intimidator.
kẻ đê tiện	(dtừ) miscreant, wretch, shit.
kẻ đê tiện đáng khinh	(dtừ) hound.
kẻ đểu cáng	(dtừ) scamp.
kẻ đểu giả	(dtừ) rapscallion, knave.
kẻ đi chiếm thuộc địa	(dtừ) colonizer.
kẻ đi đĩ bao	(dtừ) souteneur.
kẻ đi giết người thuê	(dtừ) bravo.
kẻ đi lang thang	(dtừ) prowler.
kẻ đi rình mò ăm trộm	(dtừ) prowler.
kẻ điêu ngoa	(dtừ) ananias.
kẻ đĩ thõa	(dtừ) slag.
kẻ địch	() hostile.
kẻ địch	() enemy.
kẻ đón người đưa	() to get a warm reception.
kẻ đón người đưa	() to be given a warm welcome.
kẻ đốt phá	(dtừ) arsonist.
kẻ đồng lõa	(dtừ) accessory.
kẻ độc tài	(dtừ) dictator.
kẻ đuổi	(dtừ) ouster.
kẻ đút lót	(dtừ) briber, grafter.
kẻ gạ gẫm người đàn bà không quen	(dtừ) masher.
kẻ gây áp lực đối với quan tòa	(dtừ) embraceor.
kẻ gây chiến	(dtừ) warmonger.
kẻ gây hấn	(dtừ) aggressor.
kẻ gây ra	(dtừ) perpetrator.
kẻ gây rối loạn kẻ phá rối	(dtừ) troublemaker.
kẻ gây sự	(dtừ) aggressor.
kẻ ghét người	(dtừ) misanthrope.
kẻ gian	() evildoer.
kẻ gian	() malefactor.
kẻ gian giảo	(dtừ) thimblerigger.
kẻ gian hùng	(dtừ) adventurer, buccaneer.
kẻ gian hùng	(thngữ) chevalier d'industrie.
kẻ gian hùng	(thngữ) chevalier of industry.
kẻ gian lận	(dtừ) bunco-steerer, cheat.
kẻ gian tà	(dtừ) malefactor.
kẻ giàu người nghèo	() the rich and the poor.
kẻ giả danh	(dtừ) personator.
kẻ giả đạo đức	(dtừ) dissimulator.
kẻ giả đò	(dtừ) counterfeiter.
kẻ giả mạo	(dtừ) faker.
kẻ giả nhân giả nghĩa	(dtừ) hypocrite.
kẻ giả nhân giả nghĩa	(thngữ) a fox (wolf) in lamb's skin, a wolf in sheep's clothing.
kẻ giả vờ	(dtừ) dissimulator, counterfeiter.
kẻ giật dây	() wirepuller.
kẻ gieo rắc hoang mang sợ hãi	(dtừ) panic-monger.
kẻ gièm pha	(dtừ) denigrator, depreciator, scandalmonger.
kẻ giết anh em	(dtừ) cain.
kẻ giết cha	(dtừ) parricide, patricide.
kẻ giết mẹ	(dtừ) matricide, parricide, patricide.
kẻ giết người	() xem kẻ sát nhân.
kẻ giết người hàng loạt	(dtừ) slaughterer.
kẻ giết người thân thích	(dtừ) patricide, parricide.
kẻ giết người thuê	(dtừ) hit man.
kẻ giết trẻ con	(dtừ) infanticide.
kẻ giờ	() somebody.
kẻ hai mang	(dtừ) double-dealer, double-crosser.
kẻ hai mặt	(dtừ) double-dealer.
kẻ ham vui	(dtừ) play-boy.
kẻ hay ba hoa	(thngữ) bag of wind.
kẻ hay bắt nạt	(dtừ) bully.
kẻ hay bép xép	(thngữ) bag of wind.
kẻ hay bôi xấu	(dtừ) mudslinger.
kẻ hay bợ đỡ	(dtừ) flunkey.
kẻ hay dùng mưu gian	(dtừ) schemer.
kẻ hay đi tha thẩn	(dtừ) loafer.
kẻ hay hăm dọa	(dtừ) hector.
kẻ hay khoe khoang khoác lác ầm ĩ	(dtừ) hector.
kẻ hay làm bậy	(dtừ) marplot.
kẻ hay làm hỏng việc người khác	(dtừ) marplot.
kẻ hay làm phách	(dtừ) hector.
kẻ hay làm sai	(dtừ) marplot.
kẻ hay nói dối	(dtừ) liar, bouncer.
kẻ hay nói điêu	(dtừ) liar.
kẻ hay nói huyên thuyên	(thngữ) bag of wind.
kẻ hay nói khoác lác	(dtừ) bouncer.
kẻ hay săn đón những ông tai to mặt lớn	(dtừ) lion-hunter.
kẻ hay tán tỉnh	(dtừ) philanderer.
kẻ hay tàn sát	(dtừ) butcher.
kẻ hay vu oan giá họa	(dtừ) mudslinger.
kẻ hám tiền	(dtừ) grabber.
kẻ hà tiện	(dtừ) muckworm.
kẻ hành hạ	(dtừ) persecutor.
kẻ hành hung	(dtừ) assaulter.
kẻ hăm dọa	(dtừ) intimidator.
kẻ hất cẳng	(dtừ) ouster.
kẻ hầu người hạ	() servants.
kẻ hèn	(dtừ) humble person.
kẻ hèn hạ	(dtừ) wretch.
kẻ hèn nhát	(dtừ) dastard, recreant, cur.
kẻ hết sức ngoan cố	(dtừ) die-hard.
kẻ hiếp dâm	(dtừ) assaulter, ravisher.
kẻ hiếu chiến	(dtừ) warmonger, hawk.
kẻ hoạt đầu	(dtừ) chameleon.
kẻ hỏi người đáp	() questioning and answering.
kẻ học làm sang	(dtừ) flunkey.
kẻ hối lộ	(dtừ) briber, grafter.
kẻ hỗn xược	(dtừ) jackanapes.
kẻ hở	(dtừ) slit.
kẻ hợm mình	() snob.
kẻ hung ác	(dtừ) fiend, villain.
kẻ hung bạo	(dtừ) butcher.
kẻ hung hăng	(dtừ) fire-eater, swashbuckler.
kẻ hút máu	(dtừ) vampire, leech.
kẻ hút máu hút mủ	(dtừ) blood-sucker, bleeder.
kẻ hùng hổ	(dtừ) tiger.
kẻ hưởng lạc	(dtừ) lotus-eater.
kẻ keo cú	(dtừ) tightwad.
